employee_id,business_unit,job_role,age,gender,marital_status,education_field,distance_from_home_km,years_at_company,total_working_years,months_since_last_promotion,overtime,job_satisfaction,work_life_balance,performance_rating,stock_option_level,monthly_income,attrition
91,Sales-East,Manager,54,Male,Married,Other,4,3,3,13,No,4,3,3,0,117500,No
92,Customer Support,Manager,34,Female,Married,Business,1,7,16,13,No,2,2,3,0,135500,Yes
93,R&D-Platform,Associate,59,Male,Married,Other,24,6,14,8,No,4,3,3,0,57300,No
94,HR,Analyst,45,Female,Divorced,Marketing,2,9,16,8,Yes,1,3,3,0,73300,No
95,R&D-Core,Associate,35,Male,Single,Life Sciences,16,11,13,5,No,4,4,3,0,57500,No
96,Customer Support,Analyst,54,Female,Single,Business,10,13,20,12,No,4,2,3,0,104500,No
97,Sales-East,Senior Analyst,31,Male,Married,Business,19,2,6,11,No,4,3,3,0,63700,No
98,R&D-Core,Associate,34,Female,Married,Business,14,7,11,3,Yes,4,1,3,1,50400,Yes
99,Sales-East,Manager,55,Male,Single,Life Sciences,18,4,9,10,No,3,3,4,1,121500,No
100,Sales-East,Senior Analyst,28,Male,Married,Human Resources,1,6,10,13,Yes,4,1,4,0,99700,No
101,Operations,Analyst,55,Female,Married,Human Resources,13,3,9,15,No,4,2,3,1,78200,Yes
102,Finance,Associate,21,Male,Divorced,Marketing,9,13,22,6,No,1,3,3,1,61500,No
103,R&D-Core,Associate,21,Male,Divorced,Technical Degree,23,0,9,3,No,1,3,3,0,43500,No
104,R&D-Platform,Analyst,26,Male,Divorced,Marketing,29,5,7,4,No,4,2,3,2,70300,No
105,Customer Support,Analyst,44,Female,Married,Human Resources,11,6,14,10,No,3,3,3,0,68300,Yes
106,R&D-Core,Senior Analyst,54,Male,Divorced,Technical Degree,23,6,11,4,Yes,2,1,3,1,104700,No
107,HR,Analyst,53,Male,Married,Other,7,0,1,20,No,3,2,4,1,77500,No
108,Finance,Associate,45,Male,Single,Marketing,2,2,9,11,No,3,4,3,0,43900,No
109,R&D-Core,Analyst,45,Male,Divorced,Human Resources,22,7,10,6,No,2,2,3,0,70900,Yes
110,R&D-Platform,Associate,59,Female,Single,Other,26,5,8,0,No,1,3,3,0,51300,No
111,Customer Support,Analyst,58,Male,Married,Life Sciences,26,8,12,19,Yes,4,3,3,2,56500,No
112,Operations,Analyst,23,Female,Married,Technical Degree,14,1,5,15,No,3,3,4,2,66100,No
113,Sales-East,Analyst,42,Female,Divorced,Technical Degree,26,10,15,22,Yes,1,3,3,2,77500,No
114,Operations,Manager,35,Female,Married,Business,29,5,5,20,No,4,2,3,0,107000,No
115,Sales-East,Senior Analyst,26,Male,Divorced,Life Sciences,4,2,6,12,Yes,4,2,3,0,87300,Yes
116,Customer Support,Manager,52,Male,Single,Other,10,14,20,14,Yes,3,2,3,1,173600,No
117,Customer Support,Analyst,42,Male,Single,Life Sciences,2,3,9,4,Yes,4,2,3,0,58700,No
118,Sales-East,Analyst,46,Male,Single,Human Resources,9,6,7,13,Yes,1,2,3,0,79600,No
119,R&D-Core,Associate,41,Male,Married,Human Resources,9,24,27,6,No,4,2,3,1,72100,No
120,Customer Support,Senior Analyst,23,Female,Married,Life Sciences,20,4,6,13,No,4,4,3,0,78900,No
121,Sales-East,Senior Analyst,54,Female,Single,Technical Degree,26,0,0,10,No,4,3,3,1,92800,No
122,Finance,Manager,36,Male,Single,Marketing,15,5,7,5,No,2,3,3,1,135800,No
123,Customer Support,Analyst,29,Male,Married,Business,2,7,7,10,No,3,3,3,0,73800,No
124,R&D-Platform,Analyst,45,Female,Married,Other,9,2,9,12,No,3,3,3,2,51900,No
125,Finance,Senior Analyst,32,Male,Married,Human Resources,18,1,10,3,No,3,3,4,0,73700,No
126,Sales-West,Senior Analyst,47,Male,Married,Life Sciences,16,12,15,2,No,4,3,3,1,102200,No
127,Sales-West,Representative,40,Female,Divorced,Marketing,17,6,9,22,No,4,2,3,1,40600,Yes
128,R&D-Core,Analyst,38,Female,Married,Marketing,19,2,11,6,No,3,4,3,2,62600,No
129,Sales-West,Representative,24,Female,Married,Technical Degree,29,2,7,15,Yes,4,3,3,0,43000,No
130,R&D-Core,Senior Analyst,28,Female,Married,Human Resources,10,2,9,14,No,1,3,4,0,106000,No
131,Operations,Senior Analyst,54,Male,Single,Business,21,6,8,8,Yes,2,4,3,1,101800,No
132,HR,Associate,58,Male,Single,Other,24,10,19,7,No,1,3,3,2,57900,No
133,R&D-Core,Representative,42,Female,Married,Other,29,6,7,4,No,2,3,3,0,50300,No
134,Sales-West,Manager,39,Male,Married,Business,22,2,8,11,No,2,4,3,1,128000,No
135,Operations,Associate,28,Female,Single,Human Resources,1,3,9,27,Yes,3,1,3,0,54700,No
136,R&D-Platform,Analyst,48,Male,Married,Business,22,1,3,11,No,2,3,3,0,58400,No
137,Operations,Representative,46,Male,Single,Business,26,5,13,7,Yes,1,2,3,2,39800,Yes
138,R&D-Platform,Representative,41,Female,Divorced,Business,20,1,4,21,No,1,3,4,2,34900,No
139,R&D-Platform,Analyst,31,Male,Married,Marketing,26,6,12,6,No,3,2,4,1,65200,No
140,Operations,Representative,24,Female,Single,Technical Degree,7,2,5,20,Yes,3,4,3,0,38700,No
141,Customer Support,Manager,58,Female,Married,Business,24,3,3,12,No,2,3,3,1,118400,No
142,HR,Analyst,30,Female,Single,Life Sciences,21,4,6,8,No,3,1,3,1,66400,Yes
143,R&D-Core,Analyst,46,Female,Single,Technical Degree,11,3,5,15,No,4,4,3,0,68500,No
144,Customer Support,Senior Analyst,23,Female,Married,Human Resources,6,3,7,23,No,3,2,3,2,115000,No
145,R&D-Core,Analyst,47,Female,Single,Business,11,4,7,10,No,3,1,3,3,52500,No
146,Operations,Associate,28,Female,Single,Life Sciences,5,9,16,19,No,3,4,3,0,57600,No
147,Sales-East,Manager,48,Female,Married,Human Resources,19,2,6,10,Yes,4,1,3,0,136800,No
148,R&D-Core,Analyst,28,Male,Married,Business,15,5,10,6,No,2,2,3,0,66300,Yes
149,R&D-Platform,Analyst,40,Male,Married,Technical Degree,12,2,10,6,Yes,3,2,3,1,69900,No
150,Operations,Senior Analyst,37,Male,Married,Life Sciences,5,15,16,8,No,4,3,3,2,130700,No
151,Sales-West,Analyst,40,Male,Married,Human Resources,14,10,16,12,No,3,4,3,3,82400,No
152,Customer Support,Senior Analyst,33,Male,Single,Life Sciences,4,1,8,8,No,2,1,3,2,83300,No
153,Finance,Analyst,34,Female,Married,Technical Degree,19,13,19,4,No,3,4,3,1,81300,No
154,Finance,Analyst,35,Male,Married,Other,18,2,11,6,Yes,2,2,4,0,61900,Yes
155,Finance,Associate,45,Male,Married,Technical Degree,19,0,1,7,Yes,3,3,3,0,39900,No
156,Operations,Representative,52,Female,Divorced,Marketing,29,8,12,8,Yes,4,3,3,0,44300,No
157,R&D-Core,Representative,35,Male,Single,Business,5,1,9,5,No,4,4,3,1,31700,No
158,R&D-Core,Analyst,21,Male,Single,Human Resources,2,9,10,1,No,1,2,3,0,68100,No
159,Sales-West,Senior Analyst,28,Female,Married,Human Resources,1,1,9,15,No,4,3,4,2,73600,No
160,Sales-East,Senior Analyst,25,Female,Married,Life Sciences,13,1,8,15,No,4,3,3,1,98600,No
161,Sales-West,Associate,45,Male,Divorced,Human Resources,4,15,15,13,No,3,1,4,2,61000,No
162,Operations,Associate,52,Male,Married,Other,3,1,6,9,No,2,4,3,1,41600,Yes
163,Customer Support,Associate,29,Male,Married,Business,23,1,7,10,Yes,4,3,3,1,50600,No
164,Sales-East,Associate,41,Female,Married,Life Sciences,16,9,17,16,Yes,1,3,3,0,54400,No
165,HR,Analyst,39,Female,Divorced,Life Sciences,14,0,1,8,No,4,3,3,2,62300,No
166,R&D-Platform,Representative,38,Male,Single,Business,17,6,12,10,No,2,2,3,2,40500,No
167,HR,Analyst,55,Female,Married,Other,29,1,8,9,Yes,3,2,3,0,64300,Yes
168,Finance,Analyst,31,Male,Married,Other,15,2,10,8,No,4,3,3,0,65000,No
169,R&D-Core,Associate,45,Female,Married,Life Sciences,17,7,12,10,No,4,4,3,0,41000,No
170,Operations,Analyst,42,Male,Single,Marketing,2,10,10,10,Yes,4,4,3,1,91100,Yes
171,R&D-Platform,Associate,55,Male,Married,Human Resources,27,4,6,5,No,1,3,3,1,56200,Yes
172,Finance,Representative,29,Male,Single,Life Sciences,21,17,23,7,Yes,4,2,3,0,44000,Yes
173,Finance,Analyst,57,Male,Married,Technical Degree,21,0,7,0,No,4,2,3,1,66100,No
174,Sales-West,Associate,54,Female,Married,Life Sciences,15,2,8,4,Yes,1,2,4,0,46500,Yes
175,Sales-East,Senior Analyst,38,Female,Divorced,Marketing,1,11,20,10,Yes,2,3,3,3,114500,Yes
176,R&D-Core,Analyst,53,Female,Single,Life Sciences,17,1,8,9,No,4,3,3,3,70900,No
177,Customer Support,Representative,46,Female,Single,Human Resources,5,0,0,13,Yes,3,3,3,0,39000,No
178,Customer Support,Representative,33,Male,Married,Business,20,1,3,18,Yes,1,2,3,1,40100,Yes
179,Finance,Representative,54,Male,Divorced,Marketing,4,2,3,7,No,4,3,4,1,45600,No
180,Sales-East,Associate,21,Female,Single,Human Resources,27,0,5,9,Yes,4,4,4,0,50600,Yes
181,Operations,Associate,26,Female,Married,Human Resources,22,0,0,10,No,1,4,3,0,41900,No
182,Customer Support,Representative,55,Male,Single,Other,13,11,13,11,Yes,4,2,4,3,39700,No
183,Customer Support,Analyst,51,Female,Married,Life Sciences,5,12,12,15,No,3,3,3,0,89400,No
184,R&D-Platform,Senior Analyst,32,Female,Single,Human Resources,27,1,8,16,No,3,2,3,2,70400,No
185,Operations,Executive,59,Female,Married,Business,25,3,11,9,Yes,1,4,3,1,188300,Yes
186,Sales-East,Associate,46,Male,Married,Human Resources,6,9,9,15,Yes,4,3,3,1,54800,No
187,Sales-East,Associate,30,Female,Married,Human Resources,8,1,7,20,Yes,4,1,4,1,42600,Yes
188,Sales-East,Associate,54,Male,Single,Marketing,14,6,7,12,No,1,4,3,2,61300,No
189,Sales-West,Analyst,59,Male,Single,Other,22,1,10,11,No,4,3,4,0,64100,No
190,Sales-West,Analyst,52,Male,Single,Marketing,6,2,11,12,No,2,1,3,0,62000,No
191,Sales-West,Associate,45,Male,Single,Other,29,6,11,9,No,1,4,3,0,58500,No
192,HR,Analyst,54,Male,Single,Other,11,14,21,11,Yes,3,1,3,0,81200,No
193,Sales-East,Analyst,52,Female,Single,Human Resources,18,0,7,13,No,4,4,3,0,68200,No
194,HR,Senior Analyst,40,Female,Married,Other,27,3,5,1,No,3,4,3,3,114300,No
195,Sales-West,Analyst,50,Female,Married,Marketing,4,2,5,2,No,1,3,3,0,62700,No
196,Finance,Analyst,53,Male,Divorced,Technical Degree,29,1,4,6,No,4,3,3,0,60600,No
197,Sales-East,Analyst,22,Male,Married,Business,11,2,11,11,No,3,3,4,2,72000,No
198,R&D-Core,Senior Analyst,38,Male,Married,Business,14,3,7,13,Yes,3,3,3,2,71900,Yes
199,Operations,Manager,57,Female,Married,Business,3,4,6,15,Yes,3,4,3,0,115100,No
200,R&D-Platform,Analyst,31,Male,Divorced,Business,9,10,12,7,Yes,4,3,3,0,68800,Yes
201,Customer Support,Manager,44,Male,Married,Marketing,24,4,4,17,Yes,3,3,3,1,109600,No
202,Finance,Associate,39,Male,Single,Marketing,10,4,5,8,Yes,4,4,3,0,50400,Yes
203,HR,Manager,43,Female,Married,Life Sciences,28,4,8,4,No,4,2,3,2,138900,Yes
204,Sales-West,Associate,34,Female,Single,Marketing,27,18,27,4,Yes,3,3,3,0,69100,No
205,HR,Senior Analyst,45,Female,Married,Human Resources,16,11,16,7,No,4,2,4,0,112700,No
206,Sales-East,Representative,50,Male,Single,Business,13,9,11,10,Yes,2,4,3,1,49100,No
207,Customer Support,Senior Analyst,49,Male,Married,Marketing,5,3,3,12,No,2,2,3,0,104000,No
208,Operations,Manager,53,Female,Single,Other,6,5,12,20,Yes,4,3,3,0,157600,Yes
209,Customer Support,Associate,30,Female,Divorced,Other,27,1,7,5,Yes,3,2,3,0,45600,Yes
210,Sales-East,Associate,26,Female,Single,Other,25,3,10,13,No,4,1,3,1,49100,Yes
211,R&D-Core,Senior Analyst,42,Male,Married,Human Resources,1,6,6,24,No,2,3,3,0,117100,No
212,R&D-Core,Analyst,27,Male,Married,Technical Degree,15,7,14,10,No,2,1,3,2,76000,No
213,Sales-East,Analyst,45,Male,Single,Human Resources,29,0,2,14,Yes,3,2,3,3,69000,Yes
214,Finance,Senior Analyst,35,Female,Married,Life Sciences,13,1,4,6,No,4,3,3,1,82800,No
215,Customer Support,Senior Analyst,49,Female,Married,Human Resources,18,13,22,12,Yes,3,3,3,0,117500,Yes
216,R&D-Core,Analyst,39,Male,Single,Marketing,27,0,2,18,No,2,3,3,0,55600,No
217,Customer Support,Senior Analyst,42,Female,Single,Life Sciences,3,2,8,21,Yes,3,1,3,3,89900,No
218,Customer Support,Manager,58,Male,Single,Life Sciences,22,6,12,19,No,4,3,3,0,148500,No
219,Sales-East,Representative,45,Male,Married,Life Sciences,16,7,8,19,Yes,1,3,4,1,40200,Yes
220,Customer Support,Manager,57,Male,Single,Other,1,4,13,14,Yes,4,2,3,0,164500,No
221,Operations,Representative,30,Male,Single,Marketing,20,0,3,13,No,3,2,3,2,29100,No
222,Sales-West,Associate,58,Male,Single,Marketing,29,3,6,1,Yes,4,3,3,1,53900,Yes
223,HR,Analyst,29,Male,Divorced,Technical Degree,20,4,5,4,No,4,3,3,1,58800,No
224,Finance,Associate,49,Male,Married,Other,14,18,20,3,No,4,3,3,1,71600,No
225,HR,Manager,22,Male,Married,Life Sciences,10,11,16,6,No,1,4,3,0,145500,No
226,Sales-East,Analyst,47,Male,Married,Marketing,6,4,9,7,Yes,3,4,4,0,67700,No
227,Finance,Senior Analyst,55,Female,Divorced,Human Resources,20,16,18,9,Yes,1,3,3,2,126800,Yes
228,Finance,Senior Analyst,31,Male,Married,Other,27,8,9,16,No,2,3,3,1,95700,Yes
229,Customer Support,Representative,27,Male,Married,Human Resources,8,7,16,20,No,2,1,4,1,36400,No
230,Customer Support,Executive,35,Female,Single,Technical Degree,13,1,4,6,Yes,3,3,3,0,170200,No
231,R&D-Core,Associate,23,Male,Married,Other,22,1,5,1,No,2,2,3,3,46400,No
232,Finance,Manager,21,Male,Divorced,Other,20,1,8,6,No,2,3,3,1,135000,No
233,Customer Support,Associate,37,Male,Married,Other,17,4,13,14,No,4,2,3,0,59600,Yes
234,Operations,Senior Analyst,53,Male,Married,Human Resources,22,20,22,11,No,4,3,4,0,109200,No
235,Sales-West,Analyst,36,Female,Divorced,Marketing,29,2,5,8,No,4,2,4,1,66900,Yes
236,Sales-East,Representative,31,Female,Single,Business,6,7,11,11,No,4,2,3,3,40100,No
237,Finance,Associate,29,Male,Single,Human Resources,3,4,4,4,No,2,1,3,2,50400,No
238,Sales-West,Manager,24,Female,Married,Life Sciences,29,2,8,18,No,1,3,3,0,131800,No
239,HR,Senior Analyst,36,Male,Divorced,Other,7,0,8,9,No,1,2,3,1,92600,No
240,Operations,Analyst,33,Female,Single,Life Sciences,17,11,12,14,No,3,2,3,2,83500,No
241,R&D-Core,Associate,38,Male,Single,Business,25,3,6,5,No,4,2,3,0,48900,No
242,Sales-West,Executive,33,Male,Single,Technical Degree,2,1,2,13,No,3,2,3,2,218300,No
243,R&D-Platform,Associate,44,Female,Married,Marketing,20,1,3,7,Yes,3,1,3,3,47800,No
244,Finance,Associate,49,Female,Single,Other,16,3,12,10,Yes,4,2,3,0,49000,Yes
245,Sales-East,Representative,21,Female,Married,Human Resources,18,3,8,11,Yes,3,3,3,0,43100,No
246,R&D-Core,Senior Analyst,21,Male,Married,Other,1,21,29,4,No,2,3,3,0,120400,No
247,Sales-East,Senior Analyst,31,Female,Single,Marketing,20,6,9,13,Yes,4,3,3,2,89500,No
248,Finance,Associate,29,Male,Divorced,Business,29,4,12,1,No,1,3,4,1,58700,Yes
249,Customer Support,Analyst,24,Female,Single,Business,24,1,5,17,Yes,3,3,3,0,60400,No
250,R&D-Core,Senior Analyst,55,Female,Married,Human Resources,20,11,16,13,No,2,3,3,0,90000,No
251,R&D-Core,Executive,24,Male,Married,Marketing,4,3,3,16,No,2,4,3,2,213900,No
252,R&D-Platform,Senior Analyst,54,Female,Married,Life Sciences,12,1,6,18,Yes,4,1,3,1,99500,Yes
253,Sales-West,Associate,23,Female,Married,Technical Degree,10,2,2,1,No,3,2,3,0,43400,No
254,Sales-West,Associate,45,Female,Single,Other,24,1,2,7,No,3,1,3,0,39400,No
255,R&D-Core,Senior Analyst,35,Male,Married,Marketing,19,11,15,5,Yes,1,3,3,0,112300,No
256,R&D-Platform,Representative,42,Male,Single,Human Resources,24,9,11,8,No,4,4,3,2,46200,No
257,Sales-East,Analyst,41,Male,Married,Business,11,0,0,11,Yes,3,3,4,1,55900,No
258,Customer Support,Analyst,29,Female,Single,Human Resources,21,1,2,14,No,1,4,4,0,55300,No
259,HR,Analyst,24,Female,Married,Technical Degree,11,3,3,3,No,3,3,3,0,69200,Yes
260,R&D-Core,Analyst,55,Male,Married,Other,7,2,7,12,No,1,1,3,0,67400,Yes
261,Sales-East,Senior Analyst,49,Female,Divorced,Technical Degree,12,0,7,11,No,4,1,3,1,69500,Yes
262,Customer Support,Associate,50,Female,Single,Marketing,3,1,5,14,No,3,3,3,1,40400,No
263,Sales-East,Analyst,45,Male,Divorced,Other,26,1,2,26,No,2,4,3,0,59400,No
264,Sales-East,Senior Analyst,41,Female,Married,Human Resources,25,1,2,14,Yes,2,2,3,0,81200,No
265,Sales-East,Analyst,54,Male,Single,Life Sciences,11,4,9,11,Yes,2,4,3,0,68700,Yes
266,Sales-East,Representative,27,Male,Single,Business,26,1,1,20,No,2,3,4,0,38100,Yes
267,Operations,Analyst,44,Male,Divorced,Marketing,9,1,3,18,No,3,2,3,0,74700,No
268,Sales-West,Manager,29,Female,Single,Business,11,1,6,5,No,2,2,4,1,128500,Yes
269,R&D-Core,Analyst,46,Male,Single,Other,5,7,7,6,No,3,4,3,0,80100,No
270,Customer Support,Analyst,35,Male,Married,Life Sciences,12,1,2,15,No,4,4,3,2,50700,Yes
271,HR,Executive,37,Male,Married,Life Sciences,15,9,16,17,Yes,4,3,3,1,210200,No
272,Sales-West,Representative,33,Female,Divorced,Business,12,8,8,6,No,3,4,3,0,48500,No
273,R&D-Platform,Representative,44,Male,Married,Technical Degree,27,2,5,9,No,3,3,3,1,30900,Yes
274,Operations,Manager,23,Female,Single,Other,9,4,6,10,No,2,4,3,0,154600,No
