customer_id,recency_days,frequency,monetary,R,F,M,rfm_score,segment
64,232,2,984.51,1,1,1,3,Hibernating
65,50,8,2716.45,3,2,1,6,At Risk
66,194,13,7200.24,1,4,3,8,Potential Loyalists
67,47,15,12833.43,3,4,4,11,Loyal Customers
68,19,11,7161.62,4,3,3,10,Loyal Customers
69,45,6,4289.9,3,2,2,7,Potential Loyalists
70,16,18,10818.380000000001,5,5,4,14,Champions
71,85,7,9726.93,2,2,4,8,Potential Loyalists
72,130,9,4757.39,2,3,2,7,Potential Loyalists
73,227,2,705.01,1,1,1,3,Hibernating
74,2,7,7737.580000000001,5,2,3,10,Loyal Customers
75,14,15,12740.22,5,4,4,13,Champions
76,78,15,14872.630000000001,2,4,5,11,Loyal Customers
77,138,18,6669.46,2,5,3,10,Loyal Customers
78,4,8,6926.56,5,2,3,10,Loyal Customers
79,78,9,1972.3400000000001,2,3,1,6,At Risk
80,1,18,19525.22,5,5,5,15,Champions
81,345,4,2844.22,1,1,1,3,Hibernating
82,6,14,18299.87,5,4,5,14,Champions
83,20,5,5077.3,4,1,2,7,Potential Loyalists
84,4,9,10285.550000000001,5,3,4,12,Loyal Customers
85,173,13,218822.97,1,4,5,10,Loyal Customers
86,387,3,1708.6100000000001,1,1,1,3,Hibernating
87,250,9,15056.380000000001,1,3,5,9,Potential Loyalists
88,52,29,22782.32,3,5,5,13,Champions
89,82,10,16566.68,2,3,5,10,Loyal Customers
90,43,6,17702.49,3,2,5,10,Loyal Customers
91,385,4,2165.25,1,1,1,3,Hibernating
92,83,5,5683.39,2,1,2,5,At Risk
93,241,2,1066.3600000000001,1,1,1,3,Hibernating
94,444,4,5030.58,1,1,2,4,Hibernating
95,16,10,6916.0,5,3,3,11,Loyal Customers
96,2,27,28394.62,5,5,5,15,Champions
97,34,4,2703.14,4,1,1,6,At Risk
98,415,1,376.68,1,1,1,3,Hibernating
99,166,5,4354.22,1,1,2,4,Hibernating
100,61,11,26731.61,3,3,5,11,Loyal Customers
101,17,13,28687.78,5,4,5,14,Champions
102,104,12,5902.82,2,4,3,9,Potential Loyalists
103,77,8,8389.15,2,2,3,7,Potential Loyalists
104,5,12,12091.07,5,4,4,13,Champions
105,42,13,8726.31,3,4,3,10,Loyal Customers
106,82,24,14825.91,2,5,5,12,Loyal Customers
107,2,12,4401.9,5,4,2,11,Loyal Customers
108,43,10,8443.63,3,3,3,9,Potential Loyalists
109,1,21,21940.72,5,5,5,15,Champions
110,82,6,3027.51,2,2,1,5,At Risk
111,153,20,21224.829999999998,1,5,5,11,Loyal Customers
112,6,6,5181.66,5,2,2,9,Potential Loyalists
113,62,13,7251.38,3,4,3,10,Loyal Customers
114,115,7,10577.470000000001,2,2,4,8,Potential Loyalists
115,79,7,6840.700000000001,2,2,3,7,Potential Loyalists
116,31,8,14033.89,4,2,4,10,Loyal Customers
117,52,9,7659.76,3,3,3,9,Potential Loyalists
118,196,8,8150.66,1,2,3,6,At Risk
119,33,5,3191.9900000000002,4,1,1,6,At Risk
120,77,15,33774.34,2,4,5,11,Loyal Customers
121,66,12,7725.24,3,4,3,10,Loyal Customers
122,134,13,6115.780000000001,2,4,3,9,Potential Loyalists
123,136,11,6638.76,2,3,3,8,Potential Loyalists
124,61,5,4557.78,3,1,2,6,At Risk
125,73,8,21873.06,3,2,5,10,Loyal Customers
126,47,8,3271.8,3,2,1,6,At Risk
127,178,7,64959.92,1,2,5,8,Potential Loyalists
128,33,13,10984.26,4,4,4,12,Loyal Customers
129,8,29,25077.47,5,5,5,15,Champions
130,107,3,2780.34,2,1,1,4,Hibernating
131,225,9,8329.2,1,3,3,7,Potential Loyalists
132,30,14,9780.52,4,4,4,12,Loyal Customers
133,147,8,3878.6800000000003,1,2,2,5,At Risk
134,6,17,4618.48,5,5,2,12,Loyal Customers
135,3,5,7187.05,5,1,3,9,Potential Loyalists
136,617,1,236.17,1,1,1,3,Hibernating
137,73,4,5705.35,3,1,2,6,At Risk
138,48,12,30069.96,3,4,5,12,Loyal Customers
139,174,5,62107.23,1,1,5,7,Potential Loyalists
140,13,13,14215.5,5,4,4,13,Champions
141,25,15,8438.59,4,4,3,11,Loyal Customers
142,216,4,2215.58,1,1,1,3,Hibernating
143,13,6,5025.46,5,2,2,9,Potential Loyalists
144,56,14,132321.75,3,4,5,12,Loyal Customers
145,1,13,9227.05,5,4,4,13,Champions
146,28,7,8567.57,4,2,3,9,Potential Loyalists
147,189,14,10938.34,1,4,4,9,Potential Loyalists
148,52,7,3785.82,3,2,2,7,Potential Loyalists
149,75,5,1903.5200000000002,2,1,1,4,Hibernating
150,525,2,1249.22,1,1,1,3,Hibernating
151,40,9,21030.78,3,3,5,11,Loyal Customers
152,94,6,4829.97,2,2,2,6,At Risk
153,4,12,6819.51,5,4,3,12,Loyal Customers
154,66,5,5193.46,3,1,2,6,At Risk
155,57,5,2481.27,3,1,1,5,At Risk
156,137,5,4387.37,2,1,2,5,At Risk
157,74,16,15653.23,3,5,5,13,Champions
158,21,8,6679.72,4,2,3,9,Potential Loyalists
159,112,13,71575.87,2,4,5,11,Loyal Customers
160,369,1,568.2,1,1,1,3,Hibernating
161,44,3,3854.49,3,1,2,6,At Risk
162,242,8,10072.65,1,2,4,7,Potential Loyalists
163,554,2,5355.110000000001,1,1,2,4,Hibernating
164,112,9,4692.58,2,3,2,7,Potential Loyalists
165,104,6,2168.62,2,2,1,5,At Risk
166,152,17,14372.35,1,5,4,10,Loyal Customers
167,47,14,4934.86,3,4,2,9,Potential Loyalists
168,14,19,12411.58,5,5,4,14,Champions
169,44,5,3417.45,3,1,2,6,At Risk
170,136,5,6262.32,2,1,3,6,At Risk
171,9,14,6627.82,5,4,3,12,Loyal Customers
172,14,11,24613.5,5,3,5,13,Champions
173,164,9,5443.34,1,3,2,6,At Risk
174,56,10,9567.470000000001,3,3,4,10,Loyal Customers
175,41,15,10011.16,3,4,4,11,Loyal Customers
176,30,11,12392.74,4,3,4,11,Loyal Customers
177,92,14,9949.16,2,4,4,10,Loyal Customers
178,31,6,3001.5099999999998,4,2,1,7,Potential Loyalists
179,88,4,5756.41,2,1,3,6,At Risk
180,47,8,36419.45,3,2,5,10,Loyal Customers
181,29,15,9377.46,4,4,4,12,Loyal Customers
182,3,17,36833.63,5,5,5,15,Champions
183,43,11,7930.03,3,3,3,9,Potential Loyalists
184,280,3,936.41,1,1,1,3,Hibernating
185,9,22,12141.52,5,5,4,14,Champions
186,16,10,5849.83,5,3,3,11,Loyal Customers
187,33,12,13413.14,4,4,4,12,Loyal Customers
188,21,3,582.4200000000001,4,1,1,6,At Risk
189,92,6,2685.67,2,2,1,5,At Risk
190,5,10,6517.93,5,3,3,11,Loyal Customers
191,74,11,11455.89,3,3,4,10,Loyal Customers
192,31,23,9766.09,4,5,4,13,Champions
193,174,11,20031.75,1,3,5,9,Potential Loyalists
194,35,8,3275.28,4,2,1,7,Potential Loyalists
195,33,15,13753.94,4,4,4,12,Loyal Customers
196,84,22,13778.19,2,5,4,11,Loyal Customers
197,24,12,7931.59,4,4,3,11,Loyal Customers
198,23,9,23105.04,4,3,5,12,Loyal Customers
199,20,19,52649.89,4,5,5,14,Champions
200,9,12,66632.21,5,4,5,14,Champions
201,151,4,4721.95,1,1,2,4,Hibernating
202,111,6,1866.13,2,2,1,5,At Risk
203,11,20,114097.49,5,5,5,15,Champions
204,16,8,9573.61,5,2,4,11,Loyal Customers
205,123,6,2028.27,2,2,1,5,At Risk
206,201,6,4628.09,1,2,2,5,At Risk
207,25,11,4080.9,4,3,2,9,Potential Loyalists
208,34,9,5482.95,4,3,2,9,Potential Loyalists
209,17,14,67233.54,5,4,5,14,Champions
210,71,6,2372.6499999999996,3,2,1,6,At Risk
211,4,18,7179.8,5,5,3,13,Champions
212,88,4,972.27,2,1,1,4,Hibernating
213,6,19,10481.98,5,5,4,14,Champions
214,79,14,42111.21,2,4,5,11,Loyal Customers
215,4,26,26452.93,5,5,5,15,Champions
216,77,14,22072.28,2,4,5,11,Loyal Customers
217,5,7,7571.72,5,2,3,10,Loyal Customers
218,186,4,2098.67,1,1,1,3,Hibernating
219,40,13,19959.0,3,4,5,12,Loyal Customers
220,37,5,1578.03,4,1,1,6,At Risk
221,69,16,39768.65,3,5,5,13,Champions
222,29,14,8763.59,4,4,4,12,Loyal Customers
223,7,22,12895.27,5,5,4,14,Champions
224,110,4,3100.0499999999997,2,1,1,4,Hibernating
225,139,5,41533.520000000004,2,1,5,8,Potential Loyalists
226,22,12,7453.37,4,4,3,11,Loyal Customers
227,147,12,4765.5,1,4,2,7,Potential Loyalists
228,355,2,1838.9299999999998,1,1,1,3,Hibernating
229,93,7,3965.2,2,2,2,6,At Risk
230,150,8,20710.5,1,2,5,8,Potential Loyalists
231,8,9,2880.98,5,3,1,9,Potential Loyalists
232,11,17,12616.56,5,5,4,14,Champions
233,103,10,29884.129999999997,2,3,5,10,Loyal Customers
234,12,9,8453.439999999999,5,3,3,11,Loyal Customers
235,56,7,12058.32,3,2,4,9,Potential Loyalists
236,9,13,7943.64,5,4,3,12,Loyal Customers
237,202,8,2096.23,1,2,1,4,Hibernating
238,110,12,27568.510000000002,2,4,5,11,Loyal Customers
239,59,7,6163.49,3,2,3,8,Potential Loyalists
240,385,2,9119.54,1,1,4,6,At Risk
241,79,8,4040.41,2,2,2,6,At Risk
242,15,7,5097.39,5,2,2,9,Potential Loyalists
243,28,7,7775.07,4,2,3,9,Potential Loyalists
244,27,8,11047.56,4,2,4,10,Loyal Customers
245,353,4,2780.76,1,1,1,3,Hibernating
246,30,3,2853.59,4,1,1,6,At Risk
248,153,7,3165.02,1,2,1,4,Hibernating
249,152,8,4918.88,1,2,2,5,At Risk
250,38,11,6736.41,4,3,3,10,Loyal Customers
251,171,5,2465.64,1,1,1,3,Hibernating
252,8,8,4472.7300000000005,5,2,2,9,Potential Loyalists
253,282,3,3434.56,1,1,2,4,Hibernating
254,2,9,6039.77,5,3,3,11,Loyal Customers
255,214,6,3844.91,1,2,2,5,At Risk
256,174,5,1431.73,1,1,1,3,Hibernating
257,14,6,6409.93,5,2,3,10,Loyal Customers
258,15,16,12364.61,5,5,4,14,Champions
259,72,7,3357.91,3,2,2,7,Potential Loyalists
260,159,8,8425.06,1,2,3,6,At Risk
261,35,11,5642.58,4,3,2,9,Potential Loyalists
262,205,8,5654.61,1,2,2,5,At Risk
263,35,6,4158.78,4,2,2,8,Potential Loyalists
264,6,12,15271.81,5,4,5,14,Champions
265,173,12,5961.66,1,4,3,8,Potential Loyalists
266,40,11,7006.93,3,3,3,9,Potential Loyalists
267,200,8,18953.0,1,2,5,8,Potential Loyalists
268,50,10,7829.62,3,3,3,9,Potential Loyalists
269,44,14,44039.58,3,4,5,12,Loyal Customers
270,19,12,10995.69,4,4,4,12,Loyal Customers
271,74,16,18433.58,3,5,5,13,Champions
272,161,7,4454.84,1,2,2,5,At Risk
273,54,19,18976.33,3,5,5,13,Champions
274,12,14,6520.349999999999,5,4,3,12,Loyal Customers
275,45,12,3753.6,3,4,2,9,Potential Loyalists
276,4,8,20097.39,5,2,5,12,Loyal Customers
277,32,12,6097.58,4,4,3,11,Loyal Customers
278,7,5,4515.900000000001,5,1,2,8,Potential Loyalists
279,149,4,2625.87,1,1,1,3,Hibernating
280,110,7,4077.4,2,2,2,6,At Risk
281,22,10,13383.31,4,3,4,11,Loyal Customers
282,27,5,5354.1,4,1,2,7,Potential Loyalists
283,101,9,7089.849999999999,2,3,3,8,Potential Loyalists
284,37,25,20842.600000000002,4,5,5,14,Champions
285,6,4,1343.0900000000001,5,1,1,7,Potential Loyalists
286,164,16,12713.92,1,5,4,10,Loyal Customers
287,37,19,10581.14,4,5,4,13,Champions
288,130,5,3716.23,2,1,2,5,At Risk
289,1,6,3279.75,5,2,1,8,Potential Loyalists
290,31,15,11722.49,4,4,4,12,Loyal Customers
291,249,5,19936.23,1,1,5,7,Potential Loyalists
292,8,4,2178.86,5,1,1,7,Potential Loyalists
293,51,3,954.4200000000001,3,1,1,5,At Risk
294,23,13,7648.97,4,4,3,11,Loyal Customers
295,38,4,1805.11,4,1,1,6,At Risk
296,185,5,1901.6399999999999,1,1,1,3,Hibernating
297,50,7,6301.45,3,2,3,8,Potential Loyalists
298,18,18,42558.71,4,5,5,14,Champions
299,102,10,5782.15,2,3,3,8,Potential Loyalists
300,65,7,3780.82,3,2,2,7,Potential Loyalists
301,75,15,38266.3,2,4,5,11,Loyal Customers
302,21,9,8182.780000000001,4,3,3,10,Loyal Customers
303,243,5,1055.0,1,1,1,3,Hibernating
304,212,7,12827.8,1,2,4,7,Potential Loyalists
305,45,10,6940.83,3,3,3,9,Potential Loyalists
306,23,8,17460.63,4,2,5,11,Loyal Customers
307,38,8,5123.7,4,2,2,8,Potential Loyalists
308,20,9,6308.24,4,3,3,10,Loyal Customers
309,238,5,6053.87,1,1,3,5,At Risk
310,58,2,6776.1900000000005,3,1,3,7,Potential Loyalists
311,5,9,3568.85,5,3,2,10,Loyal Customers
312,29,22,26119.690000000002,4,5,5,14,Champions
313,22,17,69274.18,4,5,5,14,Champions
314,36,5,12394.42,4,1,4,9,Potential Loyalists
315,86,12,6272.32,2,4,3,9,Potential Loyalists
316,2,6,5775.85,5,2,3,10,Loyal Customers
317,80,7,2840.5099999999998,2,2,1,5,At Risk
318,384,3,1263.56,1,1,1,3,Hibernating
319,17,14,16320.33,5,4,5,14,Champions
320,4,5,2390.46,5,1,1,7,Potential Loyalists
321,607,4,1934.2,1,1,1,3,Hibernating
322,63,19,9984.58,3,5,4,12,Loyal Customers
323,22,13,17938.440000000002,4,4,5,13,Champions
324,87,6,3121.42,2,2,1,5,At Risk
325,201,10,9432.07,1,3,4,8,Potential Loyalists
326,48,20,15142.69,3,5,5,13,Champions
327,54,9,6949.88,3,3,3,9,Potential Loyalists
328,50,31,17679.04,3,5,5,13,Champions
329,61,18,6204.88,3,5,3,11,Loyal Customers
330,60,13,15963.85,3,4,5,12,Loyal Customers
331,24,13,14087.460000000001,4,4,4,12,Loyal Customers
332,186,12,10967.55,1,4,4,9,Potential Loyalists
333,79,5,4334.7,2,1,2,5,At Risk
334,264,1,410.78,1,1,1,3,Hibernating
335,2,7,3907.31,5,2,2,9,Potential Loyalists
336,115,17,11266.93,2,5,4,11,Loyal Customers
337,97,6,3336.41,2,2,1,5,At Risk
338,450,5,2641.21,1,1,1,3,Hibernating
339,175,6,3521.7799999999997,1,2,2,5,At Risk
340,23,7,6586.24,4,2,3,9,Potential Loyalists
341,18,10,5791.76,4,3,3,10,Loyal Customers
342,45,6,2285.23,3,2,1,6,At Risk
343,11,8,12442.05,5,2,4,11,Loyal Customers
344,10,3,2216.99,5,1,1,7,Potential Loyalists
345,40,14,31673.18,3,4,5,12,Loyal Customers
346,102,6,3026.75,2,2,1,5,At Risk
347,44,29,24782.04,3,5,5,13,Champions
348,116,7,3513.75,2,2,2,6,At Risk
349,107,4,17060.57,2,1,5,8,Potential Loyalists
350,17,21,27814.4,5,5,5,15,Champions
351,50,21,11537.26,3,5,4,12,Loyal Customers
352,200,2,213.82,1,1,1,3,Hibernating
353,191,5,5089.4400000000005,1,1,2,4,Hibernating
354,47,7,5966.7,3,2,3,8,Potential Loyalists
355,137,15,16499.46,2,4,5,11,Loyal Customers
356,684,4,12773.439999999999,1,1,4,6,At Risk
357,34,15,8263.75,4,4,3,11,Loyal Customers
358,8,19,11566.65,5,5,4,14,Champions
359,101,10,5303.61,2,3,2,7,Potential Loyalists
360,103,8,6188.6900000000005,2,2,3,7,Potential Loyalists
361,5,20,9942.44,5,5,4,14,Champions
362,82,16,14339.96,2,5,4,11,Loyal Customers
363,25,17,32354.07,4,5,5,14,Champions
364,24,19,15527.289999999999,4,5,5,14,Champions
365,67,6,2690.64,3,2,1,6,At Risk
366,18,7,3128.36,4,2,1,7,Potential Loyalists
367,24,14,9542.64,4,4,4,12,Loyal Customers
368,52,8,12950.79,3,2,4,9,Potential Loyalists
369,225,12,7574.9,1,4,3,8,Potential Loyalists
370,24,17,7626.54,4,5,3,12,Loyal Customers
371,22,15,13578.59,4,4,4,12,Loyal Customers
372,14,12,46336.25,5,4,5,14,Champions
373,24,15,17286.59,4,4,5,13,Champions
374,276,4,2394.27,1,1,1,3,Hibernating
375,87,13,6683.16,2,4,3,9,Potential Loyalists
376,151,7,1979.84,1,2,1,4,Hibernating
377,229,3,2317.29,1,1,1,3,Hibernating
378,27,9,14068.16,4,3,4,11,Loyal Customers
379,43,12,7386.05,3,4,3,10,Loyal Customers
380,16,20,8743.86,5,5,4,14,Champions
381,20,5,4542.34,4,1,2,7,Potential Loyalists
382,21,12,9636.06,4,4,4,12,Loyal Customers
383,45,11,9167.84,3,3,4,10,Loyal Customers
384,11,15,4577.67,5,4,2,11,Loyal Customers
385,89,4,2708.04,2,1,1,4,Hibernating
386,159,9,4495.93,1,3,2,6,At Risk
387,145,10,5542.08,1,3,2,6,At Risk
388,19,18,15794.289999999999,4,5,5,14,Champions
389,24,11,9768.1,4,3,4,11,Loyal Customers
390,28,13,34821.45,4,4,5,13,Champions
391,55,20,8776.72,3,5,4,12,Loyal Customers
392,104,6,4448.91,2,2,2,6,At Risk
393,282,4,3503.8,1,1,2,4,Hibernating
394,9,19,38796.9,5,5,5,15,Champions
395,26,14,19057.12,4,4,5,13,Champions
396,24,17,9545.84,4,5,4,13,Champions
397,122,2,435.43,2,1,1,4,Hibernating
398,39,12,4500.47,3,4,2,9,Potential Loyalists
399,162,10,10513.16,1,3,4,8,Potential Loyalists
400,4,16,13227.54,5,5,4,14,Champions
401,30,21,15032.41,4,5,5,14,Champions
402,86,18,8129.95,2,5,3,10,Loyal Customers
403,12,7,16073.74,5,2,5,12,Loyal Customers
404,66,6,6869.6,3,2,3,8,Potential Loyalists
405,145,7,7327.9800000000005,1,2,3,6,At Risk
406,9,9,6930.57,5,3,3,11,Loyal Customers
407,47,11,11904.46,3,3,4,10,Loyal Customers
408,86,16,12729.199999999999,2,5,4,11,Loyal Customers
409,222,5,13090.74,1,1,4,6,At Risk
410,32,17,27379.99,4,5,5,14,Champions
411,19,22,36241.0,4,5,5,14,Champions
412,12,4,1191.4099999999999,5,1,1,7,Potential Loyalists
413,86,9,4226.75,2,3,2,7,Potential Loyalists
414,106,10,5489.39,2,3,2,7,Potential Loyalists
415,32,14,11097.78,4,4,4,12,Loyal Customers
416,3,18,83829.44,5,5,5,15,Champions
417,11,13,9635.44,5,4,4,13,Champions
418,31,14,10431.29,4,4,4,12,Loyal Customers
419,53,7,3524.03,3,2,2,7,Potential Loyalists
420,108,14,7068.76,2,4,3,9,Potential Loyalists
421,197,7,9580.98,1,2,4,7,Potential Loyalists
422,264,7,2556.06,1,2,1,4,Hibernating
423,47,10,4694.77,3,3,2,8,Potential Loyalists
424,13,12,26963.14,5,4,5,14,Champions
425,153,7,8028.299999999999,1,2,3,6,At Risk
426,176,9,6073.65,1,3,3,7,Potential Loyalists
427,11,3,641.3399999999999,5,1,1,7,Potential Loyalists
428,19,14,15839.73,4,4,5,13,Champions
429,68,2,835.3499999999999,3,1,1,5,At Risk
430,25,17,19859.52,4,5,5,14,Champions
431,31,11,10194.51,4,3,4,11,Loyal Customers
432,58,20,16265.58,3,5,5,13,Champions
433,71,5,3780.3500000000004,3,1,2,6,At Risk
434,3,11,9861.2,5,3,4,12,Loyal Customers
435,219,13,11216.199999999999,1,4,4,9,Potential Loyalists
436,286,4,1964.58,1,1,1,3,Hibernating
437,213,3,2907.81,1,1,1,3,Hibernating
438,94,4,3411.28,2,1,2,5,At Risk
439,52,12,10884.06,3,4,4,11,Loyal Customers
440,31,7,3712.42,4,2,2,8,Potential Loyalists
441,243,9,5192.07,1,3,2,6,At Risk
442,66,4,4409.5599999999995,3,1,2,6,At Risk
443,185,5,2043.06,1,1,1,3,Hibernating
444,233,6,11193.0,1,2,4,7,Potential Loyalists
445,15,15,9531.03,5,4,4,13,Champions
446,15,9,6538.93,5,3,3,11,Loyal Customers
447,55,21,20426.79,3,5,5,13,Champions
448,124,16,13098.72,2,5,4,11,Loyal Customers
449,291,10,17504.83,1,3,5,9,Potential Loyalists
450,44,12,6792.35,3,4,3,10,Loyal Customers
451,351,3,1584.37,1,1,1,3,Hibernating
452,45,14,13747.880000000001,3,4,4,11,Loyal Customers
453,80,20,16943.89,2,5,5,12,Loyal Customers
454,44,11,14959.08,3,3,5,11,Loyal Customers
455,15,14,15428.67,5,4,5,14,Champions
456,27,8,11622.51,4,2,4,10,Loyal Customers
457,388,8,3274.2799999999997,1,2,1,4,Hibernating
458,37,11,16765.079999999998,4,3,5,12,Loyal Customers
459,37,9,7349.47,4,3,3,10,Loyal Customers
460,62,12,13024.85,3,4,4,11,Loyal Customers
461,37,13,9098.33,4,4,4,12,Loyal Customers
462,12,6,7077.15,5,2,3,10,Loyal Customers
463,60,8,12077.1,3,2,4,9,Potential Loyalists
464,3,14,9056.51,5,4,4,13,Champions
465,17,11,5154.66,5,3,2,10,Loyal Customers
466,83,2,472.2,2,1,1,4,Hibernating
467,74,9,6109.74,3,3,3,9,Potential Loyalists
468,69,13,9352.04,3,4,4,11,Loyal Customers
469,86,7,3417.17,2,2,2,6,At Risk
470,18,22,16527.35,4,5,5,14,Champions
471,230,11,27668.12,1,3,5,9,Potential Loyalists
472,21,9,13268.96,4,3,4,11,Loyal Customers
473,46,13,4446.09,3,4,2,9,Potential Loyalists
474,26,2,3339.3599999999997,4,1,1,6,At Risk
475,80,18,6316.67,2,5,3,10,Loyal Customers
476,16,12,11187.55,5,4,4,13,Champions
477,32,4,1835.9499999999998,4,1,1,6,At Risk
478,20,10,350453.75,4,3,5,12,Loyal Customers
479,30,16,12988.52,4,5,4,13,Champions
480,31,11,4677.04,4,3,2,9,Potential Loyalists
481,58,14,20779.670000000002,3,4,5,12,Loyal Customers
482,18,9,5505.62,4,3,2,9,Potential Loyalists
483,66,11,7686.49,3,3,3,9,Potential Loyalists
484,173,5,2095.34,1,1,1,3,Hibernating
485,2,33,18507.68,5,5,5,15,Champions
486,76,4,4077.3,2,1,2,5,At Risk
487,10,19,12324.99,5,5,4,14,Champions
488,79,6,1245.67,2,2,1,5,At Risk
489,153,8,27592.52,1,2,5,8,Potential Loyalists
490,71,8,17196.989999999998,3,2,5,10,Loyal Customers
491,38,9,5036.68,4,3,2,9,Potential Loyalists
492,106,20,36085.33,2,5,5,12,Loyal Customers
493,30,8,4648.85,4,2,2,8,Potential Loyalists
494,71,14,8909.99,3,4,4,11,Loyal Customers
495,19,14,9837.59,4,4,4,12,Loyal Customers
496,141,7,6258.54,2,2,3,7,Potential Loyalists
497,128,4,909.96,2,1,1,4,Hibernating
498,12,9,8130.82,5,3,3,11,Loyal Customers
499,388,3,7773.4,1,1,3,5,At Risk
500,109,9,6104.96,2,3,3,8,Potential Loyalists
501,43,15,18211.19,3,4,5,12,Loyal Customers
502,23,7,167990.01,4,2,5,11,Loyal Customers
503,26,9,2332.83,4,3,1,8,Potential Loyalists
504,103,1,961.67,2,1,1,4,Hibernating
505,26,5,2902.16,4,1,1,6,At Risk
506,385,3,3466.5099999999998,1,1,2,4,Hibernating
507,2,9,24312.0,5,3,5,13,Champions
508,112,7,4614.64,2,2,2,6,At Risk
509,15,13,8772.0,5,4,4,13,Champions
510,23,21,14778.130000000001,4,5,5,14,Champions
511,15,3,1954.6599999999999,5,1,1,7,Potential Loyalists
512,67,9,26557.19,3,3,5,11,Loyal Customers
513,34,25,97028.95,4,5,5,14,Champions
514,49,8,5268.34,3,2,2,7,Potential Loyalists
515,287,4,1813.0900000000001,1,1,1,3,Hibernating
516,35,11,5407.24,4,3,2,9,Potential Loyalists
517,107,11,9360.529999999999,2,3,4,9,Potential Loyalists
518,94,3,1315.4699999999998,2,1,1,4,Hibernating
519,152,16,23147.649999999998,1,5,5,11,Loyal Customers
520,60,21,11077.76,3,5,4,12,Loyal Customers
521,146,18,14777.64,1,5,5,11,Loyal Customers
522,359,5,4552.530000000001,1,1,2,4,Hibernating
523,74,12,6370.08,3,4,3,10,Loyal Customers
524,86,14,12667.52,2,4,4,10,Loyal Customers
525,289,5,4780.71,1,1,2,4,Hibernating
526,138,18,21743.0,2,5,5,12,Loyal Customers
527,18,5,4517.24,4,1,2,7,Potential Loyalists
528,49,12,10288.27,3,4,4,11,Loyal Customers
529,4,9,5396.91,5,3,2,10,Loyal Customers
530,153,1,477.83,1,1,1,3,Hibernating
531,100,10,5192.39,2,3,2,7,Potential Loyalists
