customer_id,region,signup_days_ago,loyalty_score
175,West,634,0.4373517725352685
176,West,599,0.23025018512210765
177,South,401,0.39645667241251364
178,South,254,0.08998771827704447
179,North,826,0.08255422393860194
180,North,798,0.15067178874971948
181,South,331,0.37328195057784236
182,West,247,0.4087397258837533
183,West,729,0.21930425568146444
184,South,625,0.03785541272663455
185,Central,427,0.4408177547382989
186,South,488,0.27984942792705586
187,West,660,0.23838147535877255
188,East,214,0.043690565650991046
189,West,897,0.1199660531959114
190,South,513,0.5723343693836153
191,North,140,0.37525925661242426
192,South,860,0.6381552760432855
193,West,897,0.24973099599507315
194,Central,851,0.34100721809625123
195,West,637,0.42420700950603724
196,West,283,0.49044889456476093
197,North,491,0.3855849727355836
198,West,496,0.2769959753949154
199,Central,472,0.5271899472554669
200,South,161,0.38999767338449987
201,East,300,0.1301806854368723
202,North,438,0.03508319587513976
203,North,489,0.523590292036515
204,North,309,0.21124022117803776
205,West,665,0.272424907198842
206,West,838,0.21328768586837793
207,North,436,0.20289188804900957
208,Central,580,0.35579761692293205
209,Central,197,0.2527855261620131
210,East,190,0.17932213056999474
211,Central,93,0.45907708619087056
212,Central,893,0.17899908151436786
213,South,292,0.3457081590964997
214,Central,633,0.5076989649403628
215,East,572,0.7530324010141247
216,North,147,0.1521967060089666
217,North,174,0.27425521446529777
218,West,725,0.13241609568444507
219,Central,722,0.2838666412794342
220,East,515,0.16149510616758178
221,East,329,0.6272279762473258
222,South,378,0.27073103128665066
223,Central,718,0.4266393763329152
224,North,200,0.07230178517374886
225,East,106,0.17351632422594535
226,East,271,0.2787074185914578
227,North,195,0.298372029950571
228,Central,175,0.3008503173551267
229,Central,433,0.22413688370200466
230,East,728,0.12744193664417902
231,West,631,0.2791084479928187
232,Central,267,0.5065268922175599
233,North,399,0.2971845333157523
234,North,438,0.2583509088512709
235,West,368,0.1793106418996187
236,East,872,0.4471054876698191
237,West,856,0.3836808314563755
238,East,895,0.3094391934856747
239,West,394,0.2784128954231005
240,North,718,0.047009763307954804
241,North,670,0.19682290219895535
242,South,725,0.15455524409312663
243,South,170,0.12880565605034994
244,West,852,0.16319623835505662
245,Central,846,0.20446328483738344
246,South,723,0.08336194491462662
247,West,528,0.06893934297000068
248,South,422,0.2639736188054245
249,East,245,0.09646449456989085
250,Central,82,0.23965046240041635
251,South,866,0.18979570433148493
252,West,211,0.288550672923689
253,North,327,0.2025283838875734
254,South,416,0.2927631179634711
255,West,618,0.12562663453799972
256,West,260,0.11950728040207384
257,East,217,0.1890917107000363
258,Central,316,0.6230287464329333
259,Central,317,0.1768232864769678
260,West,81,0.2333098552562293
261,South,370,0.33166697819882224
262,South,510,0.10102323621988776
263,West,419,0.19350923075496132
264,West,335,0.2241683358777793
265,South,828,0.4429747202175065
266,South,255,0.27487428359405847
267,North,763,0.28252440790373773
268,North,561,0.26248373128885444
269,East,597,0.5035530176666099
270,Central,270,0.31924735524136355
271,West,870,0.533519845836558
272,Central,444,0.26107955387464993
273,West,471,0.4461383005847603
274,South,244,0.43227723276734487
275,West,446,0.46272738596037555
276,Central,622,0.21371872427211372
277,West,845,0.3853752110628194
278,East,773,0.2768969954544993
279,West,166,0.11064193023661147
280,North,101,0.2433528448262852
281,South,858,0.3106734453102335
282,North,743,0.12839463025789546
283,South,161,0.25155212463035975
284,Central,770,0.5165550927998779
285,North,692,0.13938156837341492
286,North,869,0.453822235476795
287,West,169,0.5750447851224506
288,Central,750,0.1435007917845899
289,East,347,0.1436067644778679
290,South,510,0.47707049433164583
291,East,255,0.1737119924601446
292,West,91,0.09762512018504853
293,Central,636,0.11096091879197216
294,North,94,0.5718941974825725
295,Central,434,0.07150255848143938
296,West,201,0.06316773099554346
297,West,830,0.25083604256341463
298,North,418,0.5351052237499807
299,Central,191,0.33332391649607623
300,East,861,0.33972367344707444
301,South,628,0.6597044487461476
302,South,182,0.1476476576775542
303,South,338,0.31422354901214905
304,North,498,0.12597291187566115
305,North,706,0.25262675778132204
306,South,898,0.25547158030177286
307,East,761,0.3336510540522455
308,West,41,0.32943189092447295
309,West,444,0.14622375645711758
310,East,70,0.10944361603329451
311,North,292,0.12243374616874377
312,East,264,0.6188745764348573
313,West,261,0.18193563526669035
314,West,225,0.11005919060479662
315,South,378,0.4564085427940005
316,Central,463,0.1761113052109823
317,West,860,0.18644175405620447
318,Central,395,0.20689906962469773
319,West,50,0.30595990608795287
320,South,537,0.4393342323265035
321,Central,291,0.15696694698233177
322,Central,157,0.5050397022085158
323,Central,613,0.35830594516209324
324,Central,626,0.1967363367398091
325,Central,333,0.4512389687240004
326,West,216,0.471458318517816
327,North,456,0.3261853580478449
328,East,423,0.7214215325008806
329,West,873,0.49120913004530675
330,West,59,0.34416976704628927
331,East,186,0.4913346709759323
332,East,724,0.5114779676323982
333,Central,855,0.047550755873553056
334,East,575,0.05025859397448933
335,North,305,0.10647712568589152
336,West,211,0.4642340361126316
337,South,764,0.19912888177502766
338,South,553,0.08450168290260743
339,West,385,0.16694922505976686
340,Central,410,0.31391331482267504
341,South,159,0.3907372404257884
342,South,748,0.1638543895012978
343,East,72,0.35517532463479096
344,West,885,0.3637720979383461
345,South,175,0.6001741981966855
346,East,138,0.30138409289552465
347,West,93,0.844224763603197
348,Central,456,0.23090068253945492
349,South,79,0.17359375786979053
350,East,254,0.43367545225960963
351,West,725,0.5582146084266786
352,North,682,0.09678222914856828
353,West,328,0.14901276044395
354,South,59,0.3118149251954397
355,North,167,0.4504520677903152
356,North,503,0.09941091372697197
357,North,435,0.2871116810911284
358,West,775,0.5869732563053821
359,West,450,0.32823751747081964
360,West,368,0.2729112002234095
361,West,574,0.6751988944487091
362,South,758,0.3942381008617035
363,Central,740,0.44687374850796424
364,Central,157,0.5620829957429613
365,South,394,0.384664516944324
366,West,828,0.2384618526804491
367,West,732,0.3991122287873408
368,East,718,0.3292217843945704
369,North,130,0.20227491792447702
370,South,370,0.7354013949979206
371,Central,753,0.4026615029632686
372,West,143,0.453930713632701
373,West,654,0.4051437627781962
374,Central,482,0.08132591765616638
375,North,663,0.3763773733725502
376,Central,613,0.18997697939753433
377,East,112,0.13975092866529681
378,West,142,0.267662567541786
379,South,322,0.24529500404115914
380,South,841,0.6160752426083786
381,South,845,0.1940227560154299
382,South,693,0.16230623857571227
383,North,238,0.19192702361069963
384,South,857,0.4490111999182814
385,West,654,0.07486119230550775
386,Central,290,0.4032848520028975
387,North,648,0.30538099865340257
388,North,407,0.40556166475720934
389,East,446,0.26483113155895555
390,West,238,0.39738694809416797
391,West,589,0.41607793667792425
392,Central,268,0.16236087927707007
393,South,833,0.07530922653662744
394,East,156,0.40378983958389975
395,Central,248,0.38252924032413504
396,West,138,0.3087315985518217
397,East,239,0.04463412421489743
398,Central,613,0.33872524798674347
399,South,852,0.13490505779871143
400,North,166,0.4230520195954244
401,North,223,0.618463704142107
402,Central,146,0.4459911149614075
403,Central,732,0.22731578205566397
404,South,495,0.23039478801252578
405,East,346,0.07604782527042536
406,East,642,0.18334716891870095
407,North,103,0.2852104977017609
408,Central,706,0.5295959343005476
409,South,112,0.18137786437994252
410,Central,534,0.43514505718735297
411,West,57,0.39127289256670694
412,South,205,0.08064545376380255
413,West,573,0.2835106699937568
414,West,528,0.3707360991713588
415,South,419,0.2549989436657883
416,South,574,0.6127101255869059
417,Central,757,0.41898797420053285
418,West,254,0.31493090581002836
419,West,875,0.3058546372812606
420,South,155,0.5021990128576236
421,West,881,0.09619821072097685
422,West,835,0.2123421166006864
423,South,402,0.29259595956696605
424,South,113,0.28998679331929983
425,East,383,0.15920478287661116
426,West,271,0.3456242317666114
427,North,534,0.010416422927863345
428,Central,231,0.3190885930488483
429,South,88,0.02573075636180386
430,Central,806,0.3367161756901021
431,North,783,0.1718149227134357
432,West,466,0.5336808850587027
433,East,770,0.18425657369503348
434,West,862,0.4259059824210775
435,Central,830,0.42444646584603
436,North,750,0.17355142621320543
437,North,68,0.1314284602829853
438,North,686,0.23449613073705433
439,East,829,0.2178861664450674
440,West,183,0.18567235467911858
441,North,87,0.3561516774789333
442,West,329,0.12804235597586908
443,East,746,0.17949258972419518
444,Central,743,0.21183719216963057
445,South,538,0.4827529779094158
446,Central,885,0.18525741979819865
447,East,172,0.3863054206547382
448,Central,793,0.653262272605416
449,West,787,0.41887878999868816
450,South,855,0.2464855888875706
451,West,284,0.2820845249990463
452,East,588,0.37537892472729356
453,South,269,0.5148994856871765
454,East,450,0.3072082556233288
455,Central,865,0.43558542375902903
456,West,477,0.31635633659229867
457,North,698,0.23235592276297312
458,Central,428,0.22498889296762137
459,East,30,0.31757066664879197
460,North,164,0.31257531466923855
461,North,614,0.44202805954733226
462,North,296,0.06286164852622589
463,West,301,0.3403267410571298
464,South,108,0.44748901544658
465,North,744,0.602184204209956
466,South,107,0.07904018375931926
467,Central,497,0.229886525779756
468,West,301,0.35882983478493097
469,East,818,0.2420630629734408
470,West,609,0.7284654442925067
471,North,89,0.4655665325903658
472,Central,563,0.28478903477069006
473,North,174,0.43789500860084063
474,North,516,0.03962182342160331
475,South,241,0.46176607599741826
476,North,681,0.4412246169516684
477,North,441,0.10284644000815171
478,West,397,0.28147759055240856
479,South,794,0.6093211651015297
480,North,414,0.30877845035263324
481,West,234,0.1650174548583944
482,West,480,0.42138235805915963
483,Central,734,0.3039352467660884
484,North,87,0.1539991504242121
485,Central,275,0.5679142687107716
486,West,536,0.0790425619554905
487,East,240,0.5270730437649593
488,South,682,0.2557410897487061
489,East,79,0.13461122513441637
490,North,259,0.18837780541054958
491,West,541,0.3465364961426181
492,West,773,0.4199256590925644
493,North,337,0.4313149019111292
494,South,261,0.25275761475942654
495,Central,836,0.20108251625222207
496,East,476,0.29214136984617445
497,East,206,0.07109767229612997
498,Central,790,0.3685867814688328
499,North,54,0.12099082519358284
500,West,672,0.15316816032467082
501,West,818,0.5739882309212251
502,South,531,0.2129269703796663
503,South,826,0.24780069312140113
504,Central,571,0.1414541962903822
505,North,549,0.1568966308814787
506,North,124,0.28415603927543803
507,South,185,0.23374665169401287
508,West,638,0.15748759656117775
509,East,623,0.3831832270082882
510,South,562,0.4547453584216134
511,East,211,0.10509995783057145
512,East,103,0.1933340352360875
513,West,104,0.6464391918659206
514,Central,138,0.24138264860940684
515,South,219,0.07197675039691202
516,West,874,0.1550777487948658
517,West,708,0.38186148526707225
518,West,184,0.039176755008908416
519,East,297,0.5391721429161238
520,North,809,0.46466905583415924
521,West,421,0.429871289813568
522,West,269,0.16102921282616
523,West,315,0.2743541444761143
524,South,374,0.36872442538127154
525,North,502,0.18117147468569977
526,North,513,0.572211645192924
527,North,493,0.24302814003089274
528,North,574,0.3314721413924742
529,South,288,0.24711959652865476
530,North,463,0.15191331453591184
531,South,751,0.5333753303924842
532,Central,333,0.31554056127163305
533,East,884,0.1375655738146824
534,South,463,0.3212966577211021
535,West,357,0.7134221923384635
536,East,639,0.1554111870587404
537,North,370,0.3409252757971614
538,East,374,0.2668159502489741
539,South,355,0.42694911536685115
540,East,504,0.39450360864240225
541,North,66,0.2240940708554772
542,East,359,0.19428261923942525
543,North,698,0.27982972662391736
544,South,317,0.7853462862804328
545,West,498,0.05936134101494429
546,South,289,0.47661273328581505
547,South,849,0.11880605160180985
548,North,224,0.25514551630700816
549,West,706,0.17925347256013513
550,East,691,0.48194610041696595
551,West,383,0.28181112002810554
552,East,885,0.5657100722236503
553,Central,888,0.33088094914648375
554,South,55,0.269291304240459
555,West,524,0.10903697694438334
556,East,200,0.5240617148275594
557,South,898,0.14429307905995137
558,West,868,0.35202005167778905
559,Central,398,0.6280390956551719
560,West,327,0.5421558478184566
561,South,742,0.3659988237452141
562,East,368,0.2706045883151198
563,North,665,0.2232009411257809
564,West,606,0.01894236985726149
565,South,277,0.2788913836385008
566,South,336,0.2685207561832771
567,North,841,0.431943731716513
568,Central,458,0.11822358074246957
569,North,393,0.38183797644668
570,South,813,0.2785457618839845
571,North,527,0.2291930313814119
572,East,521,0.223813470578728
573,North,368,0.2288315264580268
574,West,610,0.17649287418679083
575,South,68,0.3713084087408162
576,North,218,0.41507819506859195
577,North,743,0.10429866828272305
578,South,257,0.23017223355397423
579,West,886,0.06670898559083685
580,North,805,0.38901332642676056
581,West,362,0.35491180593001254
582,East,828,0.5343345153144067
583,North,652,0.7474381943727753
584,South,732,0.4070910826239527
585,East,438,0.41731607717056934
586,South,136,0.38871620863424516
587,East,505,0.1932821505089188
588,West,742,0.5396547124540491
589,North,108,0.500373726534079
590,South,46,0.2230991296974255
591,South,744,0.2786811649231129
592,South,549,0.33581943752616505
593,East,484,0.39177327378934174
594,East,617,0.5779452990528532
595,East,625,0.6932383784757228
596,West,400,0.09391783809551194
597,North,561,0.2536988128350337
598,East,446,0.17885448769100606
599,West,210,0.12780865950127804
600,East,675,0.03153457057280289
601,West,357,0.037633480309167244
602,East,808,0.12531702211406184
603,East,375,0.025633046313845283
604,North,194,0.14222909639288184
605,West,750,0.4404046478487442
606,East,150,0.13819524978243886
607,North,888,0.0881247379306332
608,North,578,0.3802453307196963
609,North,449,0.431790301686878
610,East,230,0.44330276356976983
611,North,205,0.39151540329735945
612,Central,198,0.6593383929769089
613,Central,754,0.10554240709987574
614,Central,207,0.194801603694732
615,South,61,0.4170536745549863
616,East,201,0.4174422029611281
617,Central,560,0.02675975928086998
618,West,445,0.5062932257695176
619,South,354,0.23912037339103276
620,Central,869,0.44494079825198685
621,East,328,0.31182146239156194
622,West,750,0.4431909208371309
623,Central,138,0.15019775725938156
624,Central,502,0.299054850852691
625,East,143,0.39467393497889797
626,North,100,0.16323145150466498
627,West,621,0.2808296677502142
628,West,615,0.3713643305584488
629,East,529,0.12251919603151953
630,East,422,0.1754211034524642
631,East,265,0.4105132626777473
632,East,707,0.32390738625553644
633,Central,194,0.05038655334268652
634,Central,459,0.25476309221973575
635,South,850,0.09560479500855211
636,East,611,0.3509244170593337
637,East,765,0.04041947413825872
638,East,204,0.25695016486236677
639,North,52,0.15623273758404346
640,West,754,0.11283926971418742
641,West,519,0.2750886898652921
642,East,708,0.2567983999987067
643,Central,763,0.07840153729809811
644,Central,355,0.37433652805555573
645,West,126,0.2819756102955817
646,Central,868,0.19095044021535149
647,East,295,0.47117942214675285
648,Central,169,0.22079366294131358
649,Central,526,0.4524518590056982
650,West,47,0.15083083058524147
651,North,82,0.06588630247066642
652,North,693,0.26543172729286074
653,East,106,0.2559894593565681
654,West,552,0.1534157812427064
655,East,424,0.14627563140553915
656,West,126,0.361835000098504
657,West,850,0.1768201729775143
658,North,168,0.28573474114624015
659,North,596,0.3499528938002134
660,West,143,0.2879054378265683
661,South,543,0.8104671463120968
662,Central,175,0.1875888145551309
663,Central,802,0.11147658369583816
664,East,431,0.29306150165835854
665,East,37,0.30775111528980215
666,Central,74,0.10096488212591193
667,Central,502,0.3015096926687941
668,East,481,0.29680723683956084
669,Central,317,0.2955478546860294
670,East,556,0.30807839685574206
671,North,723,0.07259007496878044
672,East,662,0.14940046842941654
673,West,681,0.3797259811464071
674,Central,853,0.0724796982066711
675,North,209,0.6407016515794574
676,East,101,0.19322886331644934
677,East,135,0.10843276006505778
678,Central,60,0.41180753905094936
679,West,285,0.43801540836802877
680,South,151,0.2223668302580205
681,Central,831,0.17616822620232392
682,West,323,0.2282016838285522
683,Central,219,0.14169632191432432
684,Central,487,0.597543029791033
685,North,404,0.49554826701546295
686,Central,33,0.4229344576652333
687,East,864,0.41830183548507455
688,Central,632,0.2383193721724035
689,North,747,0.04580049651235959
690,West,862,0.08785271756134655
691,South,800,0.3226899639101146
692,North,247,0.1013194943377103
693,Central,694,0.2883240043389454
694,South,37,0.11426197104030494
695,North,344,0.282705678646333
696,Central,685,0.2060279603505847
697,East,638,0.14725094323760277
698,East,699,0.2844946931808205
699,Central,688,0.5333690448925831
700,East,67,0.5261148339793444
701,North,537,0.10221333116816313
702,West,567,0.22865803412657076
703,West,165,0.30023403733141024
704,North,241,0.42881994728772377
705,East,454,0.12998187641051404
706,South,580,0.5097282352951061
707,North,769,0.1334319800608716
708,South,661,0.29095263270607447
709,Central,878,0.3536633278486492
710,South,223,0.1582662521260867
711,South,371,0.2781000282381391
712,Central,256,0.1824909487244048
713,South,804,0.37980082028449685
714,Central,562,0.1498694315313752
715,Central,471,0.055054621413750816
716,East,536,0.4292426333374434
717,South,314,0.14538828511845442
718,North,800,0.1603434701156615
719,North,564,0.29046709837872625
720,South,474,0.2956336365423631
721,East,643,0.18423098794235368
722,South,725,0.2743145561653664
723,West,373,0.2104781530021754
724,South,666,0.10680711806152557
725,East,724,0.2675377646276868
726,North,609,0.19743777069662893
727,South,131,0.012145354576059563
728,West,196,0.434558202085746
729,West,57,0.3666747390778982
730,South,270,0.3707105707023075
731,East,173,0.1598899301665868
732,East,523,0.7928543406831188
733,Central,821,0.5689878613817724
734,South,87,0.48934421929067307
735,West,277,0.25959373641320244
736,North,69,0.3615433248343228
737,East,102,0.47477369198449604
738,East,73,0.32559684849803006
739,North,557,0.0864014064370196
740,East,831,0.16822110923642117
741,East,660,0.4485997545572932
742,North,629,0.24821193555300514
743,Central,166,0.1959491694530492
744,North,757,0.2673730056970982
745,Central,533,0.05331516533130393
746,East,868,0.3588261792193613
747,South,369,0.28514408158727705
748,North,639,0.06831007128190811
749,West,448,0.1675857089581488
750,West,478,0.08800745960478155
751,West,122,0.3479916565489838
752,South,446,0.20246355515538617
753,North,175,0.1237301815343794
754,West,679,0.581395946828916
755,Central,646,0.42218896222074237
756,South,785,0.2536969522953405
757,Central,431,0.27243568849156813
758,West,751,0.255154043203245
759,East,804,0.2918780480829133
760,West,458,0.17269841212193834
761,North,853,0.5930215390601925
762,North,702,0.3753290622883108
763,West,282,0.21893993961217592
764,Central,444,0.2774715740499132
765,East,117,0.22768563980962725
766,North,364,0.13435581892596554
767,North,343,0.48511327930512677
768,East,288,0.037388310420621684
769,West,339,0.14315517448740986
770,North,77,0.4864824817391423
771,North,424,0.4913419221399569
772,West,205,0.2439042348014981
773,North,229,0.13601767575850526
774,East,665,0.12834455199420508
775,West,802,0.25814662229954777
776,North,179,0.09516627982820208
777,East,518,0.30842344069863664
778,North,814,0.37552207382520325
779,South,558,0.24379789705901656
780,Central,98,0.3074523932630419
781,West,704,0.3943921564916687
782,North,74,0.2720307882758418
783,North,566,0.25021897963009077
784,South,448,0.6431510779527608
785,Central,489,0.33157970315912283
786,West,223,0.40215624915597314
787,West,801,0.3202955284292127
788,North,119,0.28925690953217076
789,Central,845,0.2826346653162994
790,West,82,0.3833450071158206
791,South,294,0.08076135377426959
792,South,488,0.48802869877966115
793,East,479,0.256084566007227
794,East,255,0.060227777016006144
795,South,280,0.1211284104356013
796,North,513,0.12753639958346627
797,West,48,0.07081157871383402
798,West,159,0.27016215700040347
799,East,374,0.3287862967850544
800,East,51,0.18962146112072925
801,North,105,0.18862027941691667
802,East,53,0.10335361009493084
803,West,741,0.3438347524397487
804,East,128,0.5100831301914796
805,Central,190,0.1827153135229866
806,West,722,0.18351266366795274
807,West,406,0.39655505922779033
808,East,420,0.2770771668111213
809,North,601,0.15908526645648183
810,Central,572,0.27130127822489036
811,West,389,0.08317077018397578
812,Central,791,0.18522386621342923
813,West,228,0.1893707978147841
814,East,214,0.3209489402315388
815,North,477,0.4592760301666038
816,South,788,0.34189015551057156
817,East,810,0.247179021520738
818,Central,678,0.292131029589977
819,Central,33,0.15542901118432254
820,East,664,0.3559771715783029
821,East,172,0.5554252546261353
822,North,787,0.2557472204743202
823,South,128,0.364575406591268
824,Central,139,0.1489138550446442
825,West,478,0.35773585230684496
826,East,500,0.42172364089847875
827,Central,325,0.3477204159854178
828,North,450,0.4753566474089294
829,Central,651,0.4171391415258014
830,West,607,0.3523902048537425
831,North,649,0.29798767625466505
832,West,237,0.295937401834981
833,North,516,0.18638305705116842
834,West,140,0.047424647896266166
835,South,241,0.40896245298927947
836,North,876,0.3923607270190532
837,West,67,0.42012931305738005
838,East,435,0.005733078329736931
839,North,458,0.127844616041713
840,Central,231,0.2527553252446449
841,South,73,0.2416613506549737
842,West,141,0.38745832055644536
843,West,665,0.2120965570238047
844,North,546,0.12003481608344366
845,Central,515,0.5475617438071155
846,East,158,0.4431881479356844
847,North,503,0.16650136031077942
848,East,189,0.4606326671302714
849,West,301,0.4047323301682273
850,North,858,0.05567748048955752
851,South,419,0.17535362861683473
852,East,55,0.2113471178701141
853,West,547,0.4086047981952608
854,South,192,0.26809364715306877
855,South,34,0.18548700949567662
856,South,613,0.18073781621280613
857,South,581,0.34381089671640375
858,West,218,0.1903758401888029
859,South,674,0.5450890308639817
860,South,188,0.48142270976533563
861,South,466,0.345379274456526
862,West,514,0.3962390962160618
863,East,127,0.3219993424931282
864,South,635,0.43256524539044344
865,West,468,0.22379889921232385
866,West,404,0.6737597836713772
867,North,671,0.5973881930689063
868,South,709,0.0193950899410976
869,South,459,0.13427171241368896
870,Central,739,0.3229230693911672
871,South,75,0.41587382861196226
872,South,572,0.13485627273762407
873,East,272,0.4429156500963341
874,East,532,0.18164736838228268
875,West,573,0.30534933295205074
876,South,740,0.2970037239290446
877,South,515,0.15200915375909635
878,West,43,0.33001184959157853
879,West,881,0.18160439569100797
880,Central,474,0.11745895599922887
881,West,136,0.039233186895554335
882,East,141,0.4090559561081838
883,North,57,0.3198706950305542
884,Central,222,0.30505189786646664
885,West,262,0.12927425933665795
886,North,855,0.21071123045421367
887,East,737,0.32720653135185457
888,East,33,0.1891132104578652
889,North,323,0.5316399327434104
890,West,297,0.39424138637452366
891,West,421,0.2708659382625261
892,South,164,0.3230578781798187
893,Central,263,0.45131022521294967
894,Central,526,0.5685185601117889
895,South,482,0.5357500134321826
896,East,764,0.11374515495642042
897,Central,834,0.15743168428187254
898,South,370,0.10972810800673147
899,Central,739,0.3958714782035534
900,North,758,0.4881638927590539
901,West,330,0.18729851124584126
902,East,413,0.2136583905901419
903,South,575,0.181913249490653
904,West,820,0.11802414239145231
905,North,703,0.6666911149449901
906,South,766,0.2529554795004154
907,South,720,0.3861467523376394
908,North,185,0.6360197808691825
909,North,216,0.588753628865732
910,South,800,0.09254075952586457
911,North,420,0.24854112869854886
912,North,197,0.3372472939297104
913,North,289,0.5433630361092776
914,Central,456,0.2941492475290517
915,North,513,0.1144219544875706
916,West,200,0.2386962524990934
917,North,248,0.019830025344645383
918,North,366,0.3482087575010623
919,East,215,0.3992984099604405
920,South,887,0.26489286096592873
921,East,47,0.4768919184591067
922,West,695,0.13093234748941118
923,South,284,0.3702358356139075
