transaction_id,customer_id,region,category,transaction_date,amount,campaign
46,4174,West,Apparel,2025-10-09,3397.03,none
47,4925,West,Apparel,2025-07-20,361.78,none
48,4369,East,Apparel,2024-07-01,8443.65,none
49,3082,Central,Apparel,2024-05-05,740.46,none
50,4900,South,Electronics,2025-09-25,2938.19,none
51,3188,West,Apparel,2025-08-24,102.46,none
52,3123,West,Electronics,2024-09-08,1193.33,none
53,79,North,Grocery,2025-04-06,98.86,none
54,2354,Central,Grocery,2025-01-10,132.87,none
55,221,East,Electronics,2024-04-05,7317.42,none
56,4687,West,Home & Kitchen,2024-12-11,1181.27,none
57,53,South,Sports,2024-11-08,1148.72,none
58,1580,East,Home & Kitchen,2025-04-30,11645.25,none
59,5178,West,Grocery,2024-09-24,828.7,none
60,4139,Central,Electronics,2024-07-10,264.91,none
61,3949,South,Grocery,2025-01-02,361.98,none
62,3704,West,Apparel,2025-04-23,339.44,none
63,269,East,Home & Kitchen,2024-06-24,4235.51,none
64,1484,South,Apparel,2024-11-11,2470.07,none
65,4156,East,Grocery,2025-12-10,131.15,none
66,4672,West,Home & Kitchen,2025-06-21,1439.8,none
67,1812,East,Apparel,2024-11-25,925.38,none
68,1338,Central,Grocery,2025-02-09,170.1,none
69,1220,South,Electronics,2025-11-28,312973.35,none
70,2845,West,Beauty,2025-07-26,515.8,none
71,1502,West,Apparel,2025-06-22,1055.71,none
72,107,East,Beauty,2025-10-07,139.85,none
73,2015,South,Grocery,2024-04-01,165.29,none
74,2873,East,Electronics,2024-11-01,9872.66,none
75,3294,Central,Electronics,2025-08-19,507.91,none
76,1771,East,Apparel,2024-05-22,644.11,none
77,1615,North,Beauty,2024-06-08,364.25,none
78,1463,Central,Electronics,2024-02-22,1170.52,none
79,3239,South,Apparel,2025-11-13,73.69,none
80,1462,Central,Electronics,2024-09-10,970.4,none
81,4779,West,Sports,2024-04-06,1013.72,none
82,1453,North,Beauty,2025-02-24,440.89,none
83,4118,East,Apparel,2025-10-07,694.2,none
84,1646,North,Apparel,2025-05-28,187.23,none
85,3297,West,Sports,2024-01-08,762.66,none
86,3634,East,Grocery,2025-04-14,74.13,none
87,888,East,Beauty,2024-09-25,240.03,none
88,1958,Central,Apparel,2024-05-12,316.43,none
89,641,West,Apparel,2025-10-24,203.18,none
90,2636,North,Grocery,2024-12-22,1094.73,none
91,4740,East,Beauty,2025-09-22,117.07,none
92,3095,Central,Electronics,2025-07-15,148.95,none
93,3646,West,Electronics,2024-09-21,3917.51,none
94,1458,East,Sports,2025-07-28,323.15,none
95,2415,Central,Sports,2024-08-15,387.06,none
96,3849,East,Sports,2025-03-12,194.62,A_flat10
97,661,South,Apparel,2025-05-20,592.94,none
98,609,North,Apparel,2024-04-07,167.54,none
99,1164,South,Electronics,2025-09-19,1821.77,none
100,1225,North,Beauty,2024-11-18,592.83,none
101,5017,South,Electronics,2025-11-10,5366.35,none
102,807,West,Grocery,2024-01-01,5254.88,none
103,529,South,Electronics,2025-09-14,381.78,none
104,696,Central,Sports,2025-05-14,324.22,none
105,1039,West,Home & Kitchen,2025-11-08,1129.38,none
106,1906,East,Beauty,2024-10-03,3189.91,none
107,1003,South,Apparel,2024-04-15,703.27,none
108,446,Central,Beauty,2024-05-23,425.01,none
109,688,Central,Beauty,2025-08-02,637.99,none
110,4110,West,Electronics,2024-06-14,961.55,none
111,2689,North,Grocery,2024-04-14,474.28,none
112,3878,South,Beauty,2024-01-06,92.29,none
113,898,South,Apparel,2024-01-04,260.77,none
114,1570,West,Electronics,2025-09-05,419.39,none
115,5115,North,Home & Kitchen,2024-11-08,2399.91,none
116,434,West,Electronics,2024-01-04,568.54,none
117,2269,South,Grocery,2025-12-24,116.17,none
118,1522,West,Apparel,2024-09-16,124.19,none
119,38,Central,Sports,2025-09-02,388.45,none
120,2866,East,Grocery,2025-04-08,157.84,none
121,2858,East,Beauty,2024-10-08,434.97,none
122,1651,East,Apparel,2025-08-19,1026.11,none
123,2434,West,Electronics,2024-08-13,575.81,none
124,2024,North,Electronics,2025-11-28,118.96,none
125,2397,South,Home & Kitchen,2024-03-03,1107.23,none
126,4422,North,Electronics,2024-07-23,346.68,none
127,3712,North,Apparel,2025-11-23,203.78,none
128,1446,East,Grocery,2024-01-01,1239.41,none
129,1237,East,Electronics,2024-02-23,737.99,none
130,3773,North,Beauty,2025-06-24,109.26,none
131,1164,South,Grocery,2024-08-19,178.83,none
132,4730,South,Electronics,2025-01-05,945.99,none
133,4340,East,Electronics,2024-10-09,2038.91,none
134,1307,South,Home & Kitchen,2024-10-31,293.02,none
135,4172,East,Grocery,2025-11-19,103.55,none
136,970,South,Apparel,2025-05-30,2129.97,none
137,127,Central,Sports,2024-07-23,11698.45,none
138,5009,South,Home & Kitchen,2025-12-26,1052.81,none
139,3969,East,Beauty,2024-07-09,44.78,none
140,2524,East,Grocery,2024-06-13,492.25,none
141,4394,Central,Sports,2025-06-08,10702.65,none
142,384,South,Electronics,2025-04-03,530.03,none
143,3844,East,Sports,2024-02-13,2457.37,none
144,4988,West,Grocery,2025-03-11,292.69,A_flat10
145,4262,West,Apparel,2025-02-20,254.56,none
146,2233,West,Electronics,2025-03-25,1466.18,B_tiered
147,1791,South,Grocery,2024-06-01,270.62,none
148,4655,South,Grocery,2025-01-21,102.33,none
149,1502,West,Electronics,2024-03-07,163.19,none
150,4893,Central,Apparel,2025-12-12,2547.35,none
151,1647,South,Beauty,2025-12-14,264.51,none
152,624,Central,Home & Kitchen,2024-07-03,189.57,none
153,1220,South,Electronics,2024-09-10,277945.31,none
154,2685,Central,Sports,2025-09-29,1216.95,none
155,661,South,Beauty,2024-10-01,344.74,none
156,1958,Central,Beauty,2025-04-26,527.51,none
157,4721,Central,Electronics,2025-11-22,938.47,none
158,472,Central,Grocery,2025-10-24,83.37,none
159,3189,Central,Grocery,2025-04-01,458.79,none
160,2089,North,Grocery,2025-08-04,473.03,none
161,3363,South,Electronics,2025-09-07,1269.87,none
162,2528,Central,Home & Kitchen,2025-04-26,340.3,none
163,4570,West,Apparel,2024-09-21,231.57,none
164,2082,West,Apparel,2024-02-03,910.06,none
165,2621,Central,Apparel,2025-10-22,222.43,none
166,656,West,Home & Kitchen,2025-03-17,901.43,B_tiered
167,2532,West,Grocery,2024-03-03,681.49,none
168,575,South,Home & Kitchen,2024-06-11,901.88,none
169,3031,South,Apparel,2024-01-30,821.04,none
170,2210,North,Grocery,2024-09-04,669.27,none
171,4079,North,Beauty,2024-06-14,969.12,none
172,2166,Central,Apparel,2024-10-17,228.89,none
173,3278,North,Apparel,2025-11-21,138.32,none
174,307,East,Beauty,2025-09-29,184.76,none
175,3691,West,Electronics,2025-09-11,1522.23,none
176,4994,Central,Grocery,2025-11-14,2392.0,none
177,2312,West,Home & Kitchen,2024-03-08,155.68,none
178,50,West,Home & Kitchen,2025-07-17,569.89,none
179,3133,South,Electronics,2025-08-24,619.15,none
180,735,West,Apparel,2024-04-20,45.01,none
181,2414,Central,Apparel,2024-09-22,405.94,none
182,168,East,Apparel,2024-10-15,537.65,none
183,2289,Central,Grocery,2025-03-03,152.46,A_flat10
184,4556,West,Electronics,2024-01-04,2656.43,none
185,684,Central,Electronics,2024-02-22,6446.67,none
186,2571,Central,Home & Kitchen,2025-09-17,529.17,none
187,1312,West,Electronics,2024-11-08,424.62,none
188,1347,North,Beauty,2024-04-10,331.15,none
189,3343,South,Grocery,2024-07-29,100.94,none
190,3894,West,Apparel,2025-04-18,166.1,none
191,4551,South,Grocery,2024-03-19,835.33,none
192,1432,West,Sports,2025-01-22,2469.69,none
193,361,West,Electronics,2025-07-17,208.58,none
194,2286,West,Electronics,2024-07-03,1697.77,none
195,3036,Central,Electronics,2024-08-12,913.0,none
196,3843,East,Beauty,2025-02-27,255.99,none
197,3937,North,Electronics,2025-06-03,1230.32,none
198,4501,North,Apparel,2024-08-09,550.16,none
199,161,Central,Apparel,2025-11-17,1979.44,none
200,5109,Central,Apparel,2024-08-17,1666.75,none
201,5037,East,Grocery,2025-01-21,120.36,none
202,185,Central,Grocery,2024-04-06,373.23,none
203,1613,West,Home & Kitchen,2025-06-30,1730.06,none
204,3988,South,Beauty,2025-02-04,438.93,none
205,2465,North,Home & Kitchen,2025-04-19,936.28,none
206,23,North,Electronics,2025-10-16,679.33,none
207,1837,Central,Grocery,2024-08-06,49.95,none
208,3008,South,Home & Kitchen,2024-09-09,1915.31,none
209,4586,South,Apparel,2024-08-13,1000.93,none
210,4323,West,Beauty,2025-02-24,795.14,none
211,4938,East,Grocery,2024-07-27,317.94,none
212,2414,Central,Electronics,2024-10-01,923.05,none
213,4155,West,Electronics,2024-08-02,898.16,none
214,507,South,Beauty,2024-07-24,1533.13,none
215,2678,Central,Home & Kitchen,2024-03-10,640.74,none
216,4778,Central,Grocery,2024-12-25,489.88,none
217,4370,Central,Electronics,2025-07-10,1535.44,none
218,3409,Central,Home & Kitchen,2024-07-03,319.96,none
219,757,Central,Beauty,2025-07-12,794.42,none
220,924,North,Grocery,2025-05-19,303.13,none
221,3530,Central,Grocery,2024-02-18,391.55,none
222,1679,South,Home & Kitchen,2025-10-28,17823.15,none
223,1698,West,Beauty,2024-06-13,366.23,none
224,4419,East,Electronics,2024-11-01,2165.92,none
225,104,South,Electronics,2024-05-01,2988.64,none
226,2028,West,Grocery,2025-05-08,125.45,none
227,1231,North,Beauty,2024-10-26,608.2,none
228,138,South,Electronics,2024-06-28,1460.33,none
229,1118,South,Apparel,2025-02-04,1061.94,none
230,935,Central,Beauty,2025-01-12,155.66,none
231,2599,Central,Electronics,2024-07-19,2275.3,none
232,2251,East,Apparel,2025-03-09,1053.07,A_flat10
233,2431,East,Electronics,2025-05-10,3231.61,none
234,4578,West,Beauty,2025-09-03,259.18,none
235,2553,Central,Apparel,2025-10-01,635.31,none
236,3316,South,Apparel,2025-05-18,1725.59,none
237,3364,West,Electronics,2025-08-10,755.2,none
238,2668,East,Apparel,2024-08-01,896.24,none
239,1568,South,Apparel,2025-07-18,766.7,none
240,4709,South,Electronics,2025-07-23,3340.18,none
241,2266,South,Grocery,2025-04-21,289.77,none
242,2966,Central,Grocery,2025-09-11,238.0,none
243,2903,East,Apparel,2025-06-29,896.48,none
244,4315,North,Home & Kitchen,2025-02-04,1032.41,none
245,2767,West,Sports,2025-02-18,738.62,none
246,2362,North,Apparel,2025-02-19,2280.05,none
247,2377,West,Home & Kitchen,2024-09-11,791.23,none
248,4064,West,Beauty,2025-05-11,273.29,none
249,1701,South,Grocery,2025-08-10,219.63,none
250,4875,Central,Electronics,2024-12-06,5079.12,none
251,4413,West,Apparel,2025-07-15,284.93,none
252,699,Central,Electronics,2025-02-24,639.04,none
253,1632,Central,Home & Kitchen,2025-05-20,211.2,none
254,4720,South,Home & Kitchen,2025-05-20,678.19,none
255,1434,Central,Grocery,2024-01-27,829.3,none
256,1633,Central,Electronics,2024-07-17,974.73,none
257,1124,Central,Electronics,2025-05-29,2543.83,none
258,283,South,Grocery,2024-03-01,338.45,none
259,2465,North,Beauty,2024-06-09,536.4,none
260,3930,West,Home & Kitchen,2024-08-16,210.45,none
261,3430,East,Home & Kitchen,2025-08-14,649.03,none
262,140,South,Sports,2024-10-17,1922.63,none
263,2707,East,Beauty,2025-10-03,160.3,none
264,1703,South,Beauty,2025-10-13,253.87,none
265,3333,East,Home & Kitchen,2025-04-27,1691.55,none
266,2096,East,Electronics,2025-10-24,1755.42,none
267,5107,West,Grocery,2024-01-04,2097.21,none
268,4321,West,Home & Kitchen,2025-03-27,438.93,B_tiered
269,3640,Central,Home & Kitchen,2025-04-19,3058.81,none
270,2662,South,Apparel,2024-03-11,792.15,none
271,3070,West,Electronics,2025-04-30,2266.71,none
272,2285,East,Electronics,2024-04-11,1510.78,none
273,4138,Central,Electronics,2024-02-24,2022.82,none
274,4734,East,Grocery,2024-01-02,341.42,none
275,5194,South,Apparel,2025-07-04,1063.31,none
276,3109,West,Grocery,2024-11-21,2615.4,none
277,3545,North,Apparel,2024-09-15,795.32,none
278,2068,West,Home & Kitchen,2025-05-06,397.8,none
279,42,North,Apparel,2024-04-11,1655.71,none
280,3653,South,Beauty,2025-11-16,263.7,none
281,4872,West,Home & Kitchen,2024-01-15,1195.37,none
282,4481,West,Electronics,2024-06-12,492.88,none
283,4583,South,Electronics,2025-06-16,1660.9,none
284,2080,East,Electronics,2024-04-09,788.96,none
285,3709,North,Grocery,2024-07-25,566.57,none
286,3314,East,Electronics,2024-07-15,913.85,none
287,2807,South,Grocery,2024-02-01,163.66,none
288,770,North,Sports,2025-01-31,255.65,none
289,2988,East,Grocery,2025-07-10,1930.24,none
290,1536,West,Grocery,2024-01-28,545.89,none
291,3656,South,Grocery,2024-08-17,324.71,none
292,4932,North,Home & Kitchen,2025-08-28,1076.91,none
293,3786,South,Electronics,2025-05-15,630.0,none
294,1338,Central,Beauty,2025-03-26,315.82,B_tiered
295,2403,East,Home & Kitchen,2024-01-24,1593.6,none
296,2933,West,Grocery,2025-07-13,274.45,none
297,3779,West,Apparel,2025-03-24,969.59,B_tiered
298,751,West,Electronics,2025-11-26,3711.34,none
299,2721,South,Sports,2024-12-12,1984.95,none
300,4483,Central,Home & Kitchen,2025-06-14,508.63,none
301,140,South,Grocery,2025-01-17,667.54,none
302,3785,South,Home & Kitchen,2025-08-14,122.34,none
303,4590,East,Home & Kitchen,2025-01-16,823.66,none
304,4142,West,Grocery,2025-04-22,1064.11,none
305,4860,East,Home & Kitchen,2024-11-12,493.85,none
306,4077,West,Sports,2024-07-20,1415.36,none
307,2675,South,Electronics,2024-05-06,187.69,none
308,2459,Central,Electronics,2024-06-03,1577.47,none
309,167,East,Beauty,2025-03-05,173.64,A_flat10
310,95,Central,Home & Kitchen,2025-12-15,1393.02,none
311,3320,West,Apparel,2024-07-13,383.27,none
312,1420,West,Apparel,2024-10-27,716.67,none
313,1580,East,Electronics,2024-10-23,7987.35,none
314,4200,East,Sports,2025-01-04,844.87,none
315,558,West,Beauty,2025-08-21,192.7,none
316,1463,Central,Beauty,2024-05-30,1132.34,none
317,3562,Central,Electronics,2024-06-18,796.52,none
318,157,South,Electronics,2024-03-26,2183.72,none
319,2687,South,Grocery,2024-02-20,75.23,none
320,432,West,Apparel,2024-11-23,93.28,none
321,3970,Central,Apparel,2024-04-19,1156.06,none
322,3296,East,Home & Kitchen,2025-04-08,1221.58,none
323,3158,West,Sports,2024-04-25,455.64,none
324,1140,West,Grocery,2025-09-29,204.25,none
325,3771,Central,Electronics,2024-06-25,1712.23,none
326,1548,Central,Sports,2024-08-28,963.52,none
327,2965,West,Grocery,2025-11-27,388.21,none
328,464,South,Grocery,2024-10-20,257.77,none
329,482,West,Home & Kitchen,2025-07-06,1598.92,none
330,983,East,Apparel,2025-09-27,339.34,none
331,1115,North,Grocery,2025-02-01,133.76,none
332,632,East,Beauty,2025-06-01,417.0,none
333,589,North,Beauty,2024-03-02,134.77,none
334,4584,Central,Apparel,2024-07-25,496.82,none
335,2879,East,Apparel,2024-03-23,874.64,none
336,3234,North,Sports,2025-10-30,133.02,none
337,1482,South,Beauty,2025-10-03,305.12,none
338,287,West,Apparel,2024-02-04,746.15,none
339,5043,West,Electronics,2025-01-21,2716.94,none
340,281,South,Sports,2025-04-14,1048.25,none
341,4284,West,Grocery,2025-01-08,563.78,none
342,3456,North,Home & Kitchen,2025-12-10,838.99,none
343,2108,South,Home & Kitchen,2024-01-16,428.17,none
344,3882,South,Sports,2024-02-12,2483.59,none
345,3985,South,Grocery,2025-12-27,321.18,none
346,4580,West,Sports,2025-02-07,1714.68,none
347,2827,East,Grocery,2025-03-04,329.01,A_flat10
348,1101,West,Grocery,2024-09-26,1006.47,none
349,2974,West,Electronics,2024-05-31,2608.38,none
350,499,North,Electronics,2024-10-27,2974.63,none
351,1943,Central,Apparel,2025-04-04,539.44,none
352,3167,North,Electronics,2024-06-22,552.74,none
353,1302,West,Electronics,2024-03-19,340.03,none
354,4508,North,Electronics,2025-10-23,2834.55,none
355,5088,East,Sports,2025-06-11,381.05,none
356,384,South,Grocery,2024-04-26,316.64,none
357,1058,East,Home & Kitchen,2024-03-15,2202.65,none
358,2436,South,Electronics,2024-03-01,167.65,none
359,196,West,Electronics,2025-10-08,883.57,none
360,469,East,Apparel,2024-03-14,847.97,none
361,4698,West,Grocery,2024-01-03,265.0,none
362,233,North,Electronics,2024-01-30,1147.95,none
363,1279,Central,Grocery,2024-12-16,562.72,none
364,2193,North,Grocery,2025-02-19,733.58,none
365,104,South,Apparel,2024-08-08,2695.73,none
366,4219,Central,Home & Kitchen,2024-07-04,732.38,none
367,4327,South,Electronics,2025-11-05,2327.49,none
368,2040,East,Grocery,2025-10-19,113.7,none
369,1030,Central,Grocery,2024-06-05,274.83,none
370,4654,Central,Electronics,2025-07-21,1719.91,none
371,3530,Central,Beauty,2025-02-12,180.66,none
372,2709,West,Electronics,2025-03-21,158.98,B_tiered
373,2027,South,Electronics,2025-08-28,2275.53,none
374,2794,West,Beauty,2024-07-16,125.5,none
375,1289,West,Sports,2025-10-31,626.33,none
376,2321,Central,Apparel,2025-12-02,981.58,none
377,3566,South,Beauty,2025-04-28,678.08,none
378,2127,Central,Grocery,2024-05-01,106.78,none
379,3560,East,Grocery,2024-11-05,115.38,none
380,3836,South,Sports,2025-11-10,2138.45,none
381,3926,North,Grocery,2025-07-22,343.52,none
382,2957,East,Apparel,2024-08-25,383.0,none
383,936,North,Apparel,2025-10-14,892.03,none
384,3641,East,Electronics,2025-05-29,472.18,none
385,4265,West,Electronics,2025-08-18,2316.45,none
386,474,North,Grocery,2025-05-28,1011.05,none
387,4674,South,Home & Kitchen,2025-12-05,611.83,none
388,4911,West,Electronics,2025-01-25,5713.14,none
389,3473,South,Home & Kitchen,2024-01-15,316.86,none
390,556,East,Apparel,2024-08-31,840.19,none
391,3398,North,Electronics,2025-02-03,944.13,none
392,1846,Central,Apparel,2024-07-06,543.71,none
393,1560,North,Grocery,2025-01-16,1490.07,none
394,192,South,Electronics,2024-11-13,335.26,none
395,3772,East,Electronics,2024-05-06,196.51,none
396,2945,Central,Apparel,2025-10-25,32.08,none
397,2327,South,Beauty,2024-12-11,183.7,none
398,2005,West,Apparel,2024-08-18,313.74,none
399,2130,Central,Grocery,2024-10-19,1297.73,none
400,2340,Central,Beauty,2025-03-24,193.69,B_tiered
401,2461,Central,Electronics,2024-06-19,515.42,none
402,491,West,Electronics,2024-02-29,1813.62,none
403,1960,Central,Sports,2025-02-24,1929.11,none
404,330,West,Grocery,2024-05-06,544.26,none
405,4042,West,Apparel,2025-12-28,2273.74,none
406,2700,North,Apparel,2024-01-11,342.18,none
407,4163,West,Electronics,2025-09-02,767.64,none
408,2219,East,Sports,2025-10-28,373.63,none
409,778,North,Sports,2025-04-10,413.94,none
410,1539,West,Grocery,2025-03-26,293.39,B_tiered
411,1208,South,Apparel,2025-10-25,1114.18,none
412,2276,Central,Sports,2025-06-26,526.64,none
413,4106,East,Apparel,2024-01-28,953.74,none
414,583,North,Home & Kitchen,2025-06-10,2029.21,none
415,2070,South,Grocery,2024-11-25,122.44,none
416,464,South,Grocery,2024-01-15,452.86,none
417,2020,East,Apparel,2024-06-12,447.5,none
418,3027,East,Sports,2024-12-08,1178.66,none
419,354,South,Apparel,2024-03-15,1130.08,none
420,345,South,Apparel,2025-10-15,231.62,none
421,3799,South,Apparel,2024-07-22,612.84,none
422,2107,West,Grocery,2025-06-19,7571.0,none
423,1818,Central,Electronics,2024-06-30,1104.44,none
424,3568,West,Grocery,2025-05-29,158.87,none
425,429,South,Beauty,2025-10-24,68.81,none
426,4481,West,Sports,2025-03-29,620.84,B_tiered
427,4039,South,Grocery,2025-11-01,236.52,none
428,2009,West,Electronics,2024-08-01,1899.84,none
429,2416,West,Beauty,2024-05-11,953.49,none
430,2057,North,Sports,2024-09-21,98.92,none
431,4088,Central,Beauty,2025-05-28,249.71,none
432,147,Central,Electronics,2024-01-01,520.95,none
433,3492,Central,Sports,2024-10-17,597.48,none
434,1554,Central,Grocery,2025-05-08,294.28,none
435,4062,South,Home & Kitchen,2025-05-01,685.38,none
436,5122,East,Grocery,2024-07-08,182.59,none
437,1439,West,Sports,2024-06-23,665.91,none
438,2305,Central,Apparel,2024-09-21,3720.58,none
439,2842,West,Electronics,2024-08-29,974.7,none
440,2861,East,Beauty,2024-03-02,1121.94,none
441,795,South,Grocery,2024-08-23,679.19,none
442,3031,South,Beauty,2025-09-30,399.23,none
443,3766,West,Home & Kitchen,2025-04-18,99.06,none
444,4927,South,Grocery,2024-05-06,114.28,none
445,3774,West,Beauty,2025-11-15,1555.18,none
446,3131,Central,Apparel,2024-11-20,263.66,none
447,1207,South,Apparel,2024-08-13,1548.55,none
448,492,West,Electronics,2024-09-20,2659.27,none
449,3295,West,Home & Kitchen,2025-09-05,885.39,none
450,3249,Central,Electronics,2024-05-28,2471.11,none
451,4372,North,Apparel,2025-11-23,2539.68,none
452,2306,Central,Home & Kitchen,2025-09-10,1019.85,none
453,874,East,Beauty,2024-04-08,465.3,none
454,1165,South,Apparel,2024-07-05,3197.76,none
455,2456,North,Home & Kitchen,2025-01-19,496.33,none
456,1606,Central,Grocery,2024-08-18,398.49,none
457,914,Central,Apparel,2025-09-02,4085.72,none
458,542,East,Home & Kitchen,2025-08-26,372.84,none
459,2132,North,Electronics,2025-10-05,1318.76,none
460,1743,Central,Beauty,2024-10-31,708.94,none
461,5030,East,Grocery,2024-03-31,1068.07,none
462,4460,East,Home & Kitchen,2025-02-18,1203.83,none
463,931,South,Home & Kitchen,2025-10-10,1253.69,none
464,3924,Central,Electronics,2025-07-17,1079.7,none
465,2472,East,Grocery,2024-07-11,287.97,none
466,4830,East,Electronics,2024-09-14,1118.93,none
467,3156,Central,Apparel,2025-03-16,290.43,A_flat10
468,1045,South,Apparel,2024-11-27,1462.99,none
469,995,Central,Apparel,2025-05-14,447.3,none
470,5039,West,Home & Kitchen,2024-08-27,801.07,none
471,4787,South,Grocery,2024-07-17,1136.77,none
472,2490,South,Apparel,2024-03-06,73.34,none
473,2928,East,Apparel,2025-07-04,659.45,none
474,2839,South,Grocery,2025-05-12,74.62,none
475,3979,East,Electronics,2025-10-31,681.4,none
476,2444,West,Apparel,2024-09-27,677.13,none
477,612,Central,Grocery,2025-05-16,204.11,none
478,1674,East,Home & Kitchen,2024-02-09,666.74,none
479,2953,South,Apparel,2025-11-07,111.76,none
480,1816,Central,Grocery,2025-11-29,512.2,none
481,4235,East,Electronics,2024-11-01,2705.02,none
482,4944,East,Apparel,2024-11-22,4545.88,none
483,1250,South,Home & Kitchen,2024-05-11,4772.37,none
484,4637,North,Electronics,2024-01-13,624.65,none
485,3724,North,Grocery,2024-05-11,617.32,none
486,3050,Central,Sports,2024-09-20,964.15,none
487,657,West,Sports,2024-10-08,442.35,none
488,2126,West,Grocery,2025-06-22,112.02,none
489,5179,West,Electronics,2024-05-29,1619.75,none
490,3368,North,Grocery,2024-07-13,151.89,none
491,3072,South,Home & Kitchen,2025-12-07,928.41,none
492,186,South,Home & Kitchen,2024-01-23,1253.98,none
493,1654,North,Home & Kitchen,2025-09-23,450.69,none
494,2519,Central,Sports,2025-12-22,532.48,none
495,3332,West,Apparel,2024-08-10,2264.76,none
496,4464,North,Apparel,2025-03-28,236.49,B_tiered
497,2369,South,Grocery,2024-04-07,147.79,none
498,1415,North,Sports,2024-12-28,593.97,none
499,1451,South,Apparel,2024-02-09,274.76,none
500,697,East,Sports,2025-07-26,650.83,none
501,736,North,Grocery,2025-06-29,884.8,none
502,1571,West,Apparel,2024-08-06,857.75,none
503,3995,North,Grocery,2024-10-02,77.53,none
504,2137,North,Home & Kitchen,2025-04-10,289.9,none
505,4480,East,Home & Kitchen,2025-10-23,1234.93,none
506,4952,West,Apparel,2024-01-25,743.06,none
507,381,South,Grocery,2024-03-19,203.41,none
508,3695,North,Home & Kitchen,2024-07-31,424.02,none
509,432,West,Apparel,2024-12-21,1413.17,none
510,365,South,Grocery,2024-02-02,133.57,none
511,1421,East,Apparel,2025-09-15,431.13,none
512,512,East,Apparel,2024-06-06,2723.37,none
513,3446,West,Electronics,2024-12-27,611.47,none
514,3725,South,Apparel,2025-09-05,1737.58,none
515,3318,East,Sports,2025-02-09,1236.25,none
516,2987,Central,Electronics,2024-09-30,352.45,none
517,4070,North,Home & Kitchen,2025-04-01,565.94,none
518,4026,South,Grocery,2024-03-02,528.83,none
519,4533,Central,Electronics,2024-09-09,621.27,none
520,3609,North,Beauty,2025-12-14,155.53,none
521,1844,East,Beauty,2025-12-16,992.43,none
522,2712,West,Electronics,2024-11-19,2944.59,none
523,2534,North,Electronics,2025-07-02,857.19,none
524,542,East,Beauty,2024-05-14,1239.58,none
525,4226,West,Apparel,2025-12-28,665.13,none
526,4757,Central,Electronics,2024-09-18,548.76,none
527,5126,North,Sports,2024-09-28,64.36,none
528,1282,West,Apparel,2024-01-30,484.13,none
529,480,North,Grocery,2024-10-05,272.18,none
530,556,East,Home & Kitchen,2024-10-29,410.21,none
531,4189,West,Home & Kitchen,2025-12-13,232.73,none
532,3281,South,Apparel,2024-09-21,1557.63,none
533,3937,North,Electronics,2025-10-14,485.69,none
534,4718,West,Home & Kitchen,2025-10-31,1967.39,none
535,1172,South,Apparel,2025-09-24,777.87,none
536,1884,West,Grocery,2025-04-14,328.68,none
537,4124,North,Electronics,2025-01-20,402.38,none
